,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,PO Sharing Scale
0,DRLearner,htce,0.08322434153057276,-0.22180641733491777,0.243125129807694,0.16878561964549893,0.0
1,TARNet,htce,0.07832692300141005,-0.22180641733491777,0.243125129807694,0.15885326324704768,0.0
2,TLearner,htce,0.09417257640687397,-0.22180641733491777,0.243125129807694,0.19098951544853304,0.0
3,SLearner,htce,0.13866534065952957,-0.22180641733491777,0.243125129807694,0.28122439920987646,0.0
4,DRLearner,target,0.1619356460995781,-0.22180641733491777,0.243125129807694,0.328418439448642,0.0
5,TARNet,target,0.19626235694627156,-0.22180641733491777,0.243125129807694,0.3980357539758183,0.0
6,TLearner,target,0.257426685065598,-0.22180641733491777,0.243125129807694,0.5220819023977761,0.0
7,SLearner,target,0.27230749134952975,-0.22180641733491777,0.243125129807694,0.5522613674829444,0.0
8,DRLearner,radial_gan,0.15510755284007416,-0.22180641733491777,0.243125129807694,0.3145705203109549,0.0
9,TARNet,radial_gan,0.1638543082695211,-0.22180641733491777,0.243125129807694,0.33230963975480776,0.0
10,TLearner,radial_gan,0.22792585333207646,-0.22180641733491777,0.243125129807694,0.4622518566127834,0.0
11,SLearner,radial_gan,0.2461311127042357,-0.22180641733491777,0.243125129807694,0.4991735784002502,0.0
12,DRLearner,shared_source_target,0.9229245433476597,-0.22180641733491777,0.243125129807694,1.871764775426296,0.0
13,TARNet,shared_source_target,0.9175616177750875,-0.22180641733491777,0.243125129807694,1.860888333519612,0.0
14,TLearner,shared_source_target,0.903652368822226,-0.22180641733491777,0.243125129807694,1.8326792643922847,0.0
15,SLearner,shared_source_target,0.9086135846769097,-0.22180641733491777,0.243125129807694,1.8427410068684356,0.0
0,DRLearner,htce,0.08247823727753269,-0.09676749498242741,0.20342352722807117,0.18286844857975637,0.1
1,TARNet,htce,0.0915284450555592,-0.09676749498242741,0.20342352722807117,0.20293431698723965,0.1
2,TLearner,htce,0.10869955464507933,-0.09676749498242741,0.20342352722807117,0.24100562251796398,0.1
3,SLearner,htce,0.10774668083668273,-0.09676749498242741,0.20342352722807117,0.23889293727170405,0.1
4,DRLearner,target,0.15103075023855722,-0.09676749498242741,0.20342352722807117,0.3348611693897714,0.1
5,TARNet,target,0.16282287117975602,-0.09676749498242741,0.20342352722807117,0.36100633123077613,0.1
6,TLearner,target,0.2258709157942669,-0.09676749498242741,0.20342352722807117,0.5007946982620335,0.1
7,SLearner,target,0.21417667129906834,-0.09676749498242741,0.20342352722807117,0.47486654534875755,0.1
8,DRLearner,radial_gan,0.2081332874289554,-0.09676749498242741,0.20342352722807117,0.46146732309354915,0.1
9,TARNet,radial_gan,0.2415789024603972,-0.09676749498242741,0.20342352722807117,0.5356220084321215,0.1
10,TLearner,radial_gan,0.2443613291532029,-0.09676749498242741,0.20342352722807117,0.5417911273342162,0.1
11,SLearner,radial_gan,0.2742672565264543,-0.09676749498242741,0.20342352722807117,0.608097715867178,0.1
12,DRLearner,shared_source_target,0.841313876214819,-0.09676749498242741,0.20342352722807117,1.865337674401709,0.1
13,TARNet,shared_source_target,0.8122770805412148,-0.09676749498242741,0.20342352722807117,1.8009581004458308,0.1
14,TLearner,shared_source_target,0.8335574488010276,-0.09676749498242741,0.20342352722807117,1.8481403397531917,0.1
15,SLearner,shared_source_target,0.8159030914933261,-0.09676749498242741,0.20342352722807117,1.808997590852428,0.1
0,DRLearner,htce,0.05259706474600659,0.15331034972255325,0.14384531187437383,0.13867994231022515,0.3
1,TARNet,htce,0.0553643699002253,0.15331034972255325,0.14384531187437383,0.14597635173906076,0.3
2,TLearner,htce,0.061684378523215726,0.15331034972255325,0.14384531187437383,0.16263998944334887,0.3
3,SLearner,htce,0.10078129216393303,0.15331034972255325,0.14384531187437383,0.26572478617840223,0.3
4,DRLearner,target,0.13999028737579042,0.15331034972255325,0.14384531187437383,0.3691051025568959,0.3
5,TARNet,target,0.15257164497786718,0.15331034972255325,0.14384531187437383,0.40227771313632543,0.3
6,TLearner,target,0.23471616538389486,0.15331034972255325,0.14384531187437383,0.6188638934872727,0.3
7,SLearner,target,0.24263128452925245,0.15331034972255325,0.14384531187437383,0.6397332760613276,0.3
8,DRLearner,radial_gan,0.144532002569782,0.15331034972255325,0.14384531187437383,0.38108000655836005,0.3
9,TARNet,radial_gan,0.23439012895649206,0.15331034972255325,0.14384531187437383,0.6180042502132307,0.3
10,TLearner,radial_gan,0.2067196624538544,0.15331034972255325,0.14384531187437383,0.5450469717640725,0.3
11,SLearner,radial_gan,0.2290418947270324,0.15331034972255325,0.14384531187437383,0.6039028394598988,0.3
12,DRLearner,shared_source_target,0.6685951551900102,0.15331034972255325,0.14384531187437383,1.762850037324306,0.3
13,TARNet,shared_source_target,0.6757639761323577,0.15331034972255325,0.14384531187437383,1.7817516942802212,0.3
14,TLearner,shared_source_target,0.6802234625760807,0.15331034972255325,0.14384531187437383,1.7935097900168409,0.3
15,SLearner,shared_source_target,0.6817074535767199,0.15331034972255325,0.14384531187437383,1.7974225518287663,0.3
0,DRLearner,htce,0.042765156267867095,0.40338819442753393,0.11070041626140759,0.12853323443581852,0.5
1,TARNet,htce,0.06582764643098989,0.40338819442753393,0.11070041626140759,0.19784892771291135,0.5
2,TLearner,htce,0.06459010651780693,0.40338819442753393,0.11070041626140759,0.1941294275013724,0.5
3,SLearner,htce,0.07638345315241164,0.40338819442753393,0.11070041626140759,0.22957503603075102,0.5
4,DRLearner,target,0.164129298759788,0.40338819442753393,0.11070041626140759,0.4933004220337551,0.5
