,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,PO Sharing Scale
0,DRLearner,htce,0.038740496248202416,0.9810105944639032,0.05945014997280258,0.158887123369646,0.0
1,TARNet,htce,0.054302110699056494,0.9810105944639032,0.05945014997280258,0.22271026438577185,0.0
2,TLearner,htce,0.055607096990990666,0.9810105944639032,0.05945014997280258,0.22806242912402977,0.0
3,SLearner,htce,0.0941202116273058,0.9810105944639032,0.05945014997280258,0.38601698802706547,0.0
4,DRLearner,target,0.1350846979883486,0.9810105944639032,0.05945014997280258,0.5540254037303929,0.0
5,TARNet,target,0.1478816074785114,0.9810105944639032,0.05945014997280258,0.606509608472815,0.0
6,TLearner,target,0.20193262393182232,0.9810105944639032,0.05945014997280258,0.8281900553222914,0.0
7,SLearner,target,0.20429534740716643,0.9810105944639032,0.05945014997280258,0.8378803373958664,0.0
8,DRLearner,radial_gan,0.12882779435252797,0.9810105944639032,0.05945014997280258,0.5283638475766628,0.0
9,TARNet,radial_gan,0.16957904733388385,0.9810105944639032,0.05945014997280258,0.6954977252232812,0.0
10,TLearner,radial_gan,0.1571557757989337,0.9810105944639032,0.05945014997280258,0.6445459288296088,0.0
11,SLearner,radial_gan,0.1780848691160469,0.9810105944639032,0.05945014997280258,0.7303828115217168,0.0
12,DRLearner,shared_source_target,0.4462024332602009,0.9810105944639032,0.05945014997280258,1.830018402630539,0.0
13,TARNet,shared_source_target,0.4543068214228889,0.9810105944639032,0.05945014997280258,1.8632570817014158,0.0
14,TLearner,shared_source_target,0.4387876984735797,0.9810105944639032,0.05945014997280258,1.7996082118769872,0.0
15,SLearner,shared_source_target,0.4499585100609349,0.9810105944639032,0.05945014997280258,1.845423270812933,0.0
0,DRLearner,htce,0.0156150771723043,0.8790757552882337,0.04740749761148921,0.07171675308264416,0.1
1,TARNet,htce,0.0560233057029094,0.8790757552882337,0.04740749761148921,0.2573032164769084,0.1
2,TLearner,htce,0.05851662008029981,0.8790757552882337,0.04740749761148921,0.26875448306929295,0.1
3,SLearner,htce,0.0955696134849627,0.8790757552882337,0.04740749761148921,0.43893105982603237,0.1
4,DRLearner,target,0.13095402700083636,0.8790757552882337,0.04740749761148921,0.601444201393658,0.1
5,TARNet,target,0.15322827752213541,0.8790757552882337,0.04740749761148921,0.7037451319052445,0.1
6,TLearner,target,0.18974396505344315,0.8790757552882337,0.04740749761148921,0.871453976211861,0.1
7,SLearner,target,0.19201381211986332,0.8790757552882337,0.04740749761148921,0.8818789046192944,0.1
