,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,PO Sharing Scale
0,DRLearner,htce,0.04551776779295263,-2.531952103071199,0.03455308364762409,0.24487111017096047,0.0
1,TARNet,htce,0.04052209018850588,-2.531952103071199,0.03455308364762409,0.21799595393259857,0.0
2,TLearner,htce,0.03599493775572819,-2.531952103071199,0.03455308364762409,0.19364131406603038,0.0
3,SLearner,htce,0.07611451886653951,-2.531952103071199,0.03455308364762409,0.40947189721073596,0.0
4,DRLearner,target,0.18199837304568292,-2.531952103071199,0.03455308364762409,0.9790933478927106,0.0
5,TARNet,target,0.28592181776079356,-2.531952103071199,0.03455308364762409,1.53816841932272,0.0
6,TLearner,target,0.2542725781925617,-2.531952103071199,0.03455308364762409,1.3679055790096342,0.0
7,SLearner,target,0.3797209354846696,-2.531952103071199,0.03455308364762409,2.042777832389288,0.0
8,DRLearner,radial_gan,0.19277333785799194,-2.531952103071199,0.03455308364762409,1.0370592307462994,0.0
9,TARNet,radial_gan,0.18781588663994128,-2.531952103071199,0.03455308364762409,1.0103897203057983,0.0
10,TLearner,radial_gan,0.1882051872850599,-2.531952103071199,0.03455308364762409,1.0124840339284278,0.0
11,SLearner,radial_gan,0.24469243189922724,-2.531952103071199,0.03455308364762409,1.316367439680837,0.0
12,DRLearner,shared_source_target,1.4341854715140188,-2.531952103071199,0.03455308364762409,7.715461579710284,0.0
13,TARNet,shared_source_target,1.4499356259377765,-2.531952103071199,0.03455308364762409,7.800192399917745,0.0
14,TLearner,shared_source_target,1.4066134055450494,-2.531952103071199,0.03455308364762409,7.567132636291099,0.0
15,SLearner,shared_source_target,1.423414216749968,-2.531952103071199,0.03455308364762409,7.657515655736048,0.0
0,DRLearner,htce,0.043995696013149836,-2.0648763782893784,0.029547727450417737,0.255945884358761,0.1
1,TARNet,htce,0.042919411266681744,-2.0648763782893784,0.029547727450417737,0.2496845752712928,0.1
2,TLearner,htce,0.04060785593729342,-2.0648763782893784,0.029547727450417737,0.23623705365809528,0.1
3,SLearner,htce,0.08085157951958523,-2.0648763782893784,0.029547727450417737,0.4703557597033543,0.1
4,DRLearner,target,0.16585096533957044,-2.0648763782893784,0.029547727450417737,0.9648414695588191,0.1
5,TARNet,target,0.22677086968245772,-2.0648763782893784,0.029547727450417737,1.319244290858227,0.1
6,TLearner,target,0.19213021672845904,-2.0648763782893784,0.029547727450417737,1.1177215657165191,0.1
7,SLearner,target,0.26344692631258704,-2.0648763782893784,0.029547727450417737,1.5326080195780714,0.1
8,DRLearner,radial_gan,0.15725319602231688,-2.0648763782893784,0.029547727450417737,0.9148237662189433,0.1
9,TARNet,radial_gan,0.1642193485639786,-2.0648763782893784,0.029547727450417737,0.9553495047439284,0.1
10,TLearner,radial_gan,0.16523354676759716,-2.0648763782893784,0.029547727450417737,0.9612496240661147,0.1
11,SLearner,radial_gan,0.19893310837117986,-2.0648763782893784,0.029547727450417737,1.157297530537546,0.1
12,DRLearner,shared_source_target,1.2832726880754217,-2.0648763782893784,0.029547727450417737,7.465465779305743,0.1
13,TARNet,shared_source_target,1.2818707702599401,-2.0648763782893784,0.029547727450417737,7.45731009300919,0.1
14,TLearner,shared_source_target,1.2935899638286599,-2.0648763782893784,0.029547727450417737,7.525486747403315,0.1
15,SLearner,shared_source_target,1.2925311203755376,-2.0648763782893784,0.029547727450417737,7.519326903405714,0.1
0,DRLearner,htce,0.04518390151199892,-1.1307249287257384,0.02642444100098266,0.27795905341545674,0.3
1,TARNet,htce,0.05195824095685695,-1.1307249287257384,0.02642444100098266,0.31963294426146277,0.3
2,TLearner,htce,0.05315137337310066,-1.1307249287257384,0.02642444100098266,0.3269727698613023,0.3
3,SLearner,htce,0.10974701875303261,-1.1307249287257384,0.02642444100098266,0.6751337628438404,0.3
4,DRLearner,target,0.12795402891356714,-1.1307249287257384,0.02642444100098266,0.7871383295234984,0.3
5,TARNet,target,0.17092160904687065,-1.1307249287257384,0.02642444100098266,1.0514631775721826,0.3
6,TLearner,target,0.15247186972229831,-1.1307249287257384,0.02642444100098266,0.9379654071979664,0.3
7,SLearner,target,0.24334353099285777,-1.1307249287257384,0.02642444100098266,1.4969831127041435,0.3
8,DRLearner,radial_gan,0.18731600717601496,-1.1307249287257384,0.02642444100098266,1.1523170488139778,0.3
9,TARNet,radial_gan,0.1413877369005737,-1.1307249287257384,0.02642444100098266,0.8697788415416209,0.3
10,TLearner,radial_gan,0.2135237432700874,-1.1307249287257384,0.02642444100098266,1.313539901934264,0.3
11,SLearner,radial_gan,0.20741567490631282,-1.1307249287257384,0.02642444100098266,1.2759647292781173,0.3
12,DRLearner,shared_source_target,1.023694187582008,-1.1307249287257384,0.02642444100098266,6.29748777430468,0.3
13,TARNet,shared_source_target,1.016682214358674,-1.1307249287257384,0.02642444100098266,6.254352025188043,0.3
14,TLearner,shared_source_target,1.011624117120263,-1.1307249287257384,0.02642444100098266,6.22323598886925,0.3
15,SLearner,shared_source_target,1.0249658255179883,-1.1307249287257384,0.02642444100098266,6.305310544476008,0.3
0,DRLearner,htce,0.04231544973965941,-0.19657347916209816,0.032484389144851085,0.23478027598727189,0.5
