,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,PO Sharing Scale
0,DRLearner,htce,0.037084521570704757,0.24530811609446163,0.002554227871586798,0.7337749149254319,0.0
1,TARNet,htce,0.03848270419717537,0.24530811609446163,0.002554227871586798,0.7614401319576277,0.0
2,TLearner,htce,0.0435693696406171,0.24530811609446163,0.002554227871586798,0.8620877160419828,0.0
3,SLearner,htce,0.04372158615015303,0.24530811609446163,0.002554227871586798,0.8650995563355679,0.0
4,DRLearner,target,0.06764919416720523,0.24530811609446163,0.002554227871586798,1.338544481426667,0.0
5,TARNet,target,0.06654144968770538,0.24530811609446163,0.002554227871586798,1.316626034679164,0.0
6,TLearner,target,0.11336115111027999,0.24530811609446163,0.002554227871586798,2.243026618348091,0.0
7,SLearner,target,0.11981180003919097,0.24530811609446163,0.002554227871586798,2.370662736290209,0.0
8,DRLearner,radial_gan,0.09089299546898034,0.24530811609446163,0.002554227871586798,1.7984592275353775,0.0
9,TARNet,radial_gan,0.1042661721629815,0.24530811609446163,0.002554227871586798,2.063068319827814,0.0
10,TLearner,radial_gan,0.13164548245986532,0.24530811609446163,0.002554227871586798,2.604810540918874,0.0
11,SLearner,radial_gan,0.10618789063442936,0.24530811609446163,0.002554227871586798,2.10109250749891,0.0
12,DRLearner,shared_source_target,0.3902658125446897,0.24530811609446163,0.002554227871586798,7.7220158510687815,0.0
13,TARNet,shared_source_target,0.39643081989339807,0.24530811609446163,0.002554227871586798,7.84400010625698,0.0
14,TLearner,shared_source_target,0.38845586026452744,0.24530811609446163,0.002554227871586798,7.686203131256203,0.0
15,SLearner,shared_source_target,0.3826053143061056,0.24530811609446163,0.002554227871586798,7.570440983570857,0.0
0,DRLearner,htce,0.037787572137775734,0.21630159422708783,0.006498125837926082,0.46876473304345095,0.1
1,TARNet,htce,0.03670754781293158,0.21630159422708783,0.006498125837926082,0.4553667483179416,0.1
2,TLearner,htce,0.03748828009287775,0.21630159422708783,0.006498125837926082,0.4650519368093585,0.1
3,SLearner,htce,0.04730942615956938,0.21630159422708783,0.006498125837926082,0.5868858269928211,0.1
4,DRLearner,target,0.05143280949334,0.21630159422708783,0.006498125837926082,0.638037477610737,0.1
5,TARNet,target,0.10880901094843834,0.21630159422708783,0.006498125837926082,1.3498042897277538,0.1
6,TLearner,target,0.09848369542889186,0.21630159422708783,0.006498125837926082,1.2217160453848213,0.1
7,SLearner,target,0.11990732186253068,0.21630159422708783,0.006498125837926082,1.4874817444715807,0.1
8,DRLearner,radial_gan,0.08417202846482523,0.21630159422708783,0.006498125837926082,1.0441760669136781,0.1
9,TARNet,radial_gan,0.09442350267230684,0.21630159422708783,0.006498125837926082,1.1713482904333765,0.1
10,TLearner,radial_gan,0.09881980110334072,0.21630159422708783,0.006498125837926082,1.2258855243389852,0.1
