,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,PO Sharing Scale
0,DRLearner,htce,0.011976476935063507,1.1005727720837242,0.08588680761616656,0.04086635018892153,0.0
1,TARNet,htce,0.09330006902738434,1.1005727720837242,0.08588680761616656,0.3183601750495436,0.0
2,TLearner,htce,0.04501426564784751,1.1005727720837242,0.08588680761616656,0.15359848755491487,0.0
3,SLearner,htce,0.14326899629175066,1.1005727720837242,0.08588680761616656,0.48886504816225707,0.0
4,DRLearner,target,0.14767085794033227,1.1005727720837242,0.08588680761616656,0.5038851597183911,0.0
5,TARNet,target,0.18474714617472698,1.1005727720837242,0.08588680761616656,0.6303975378499097,0.0
6,TLearner,target,0.20969785524660794,1.1005727720837242,0.08588680761616656,0.7155347964879802,0.0
7,SLearner,target,0.3066673653749072,1.1005727720837242,0.08588680761616656,1.046415904516452,0.0
8,DRLearner,radial_gan,0.12106277090027183,1.1005727720837242,0.08588680761616656,0.41309256614248663,0.0
9,TARNet,radial_gan,0.14360693608210678,1.1005727720837242,0.08588680761616656,0.490018172398236,0.0
10,TLearner,radial_gan,0.16139808061548466,1.1005727720837242,0.08588680761616656,0.5507254360371887,0.0
11,SLearner,radial_gan,0.16867397659061728,1.1005727720837242,0.08588680761616656,0.5755523792584807,0.0
12,DRLearner,shared_source_target,1.1817769730385734,1.1005727720837242,0.08588680761616656,4.032480660819803,0.0
13,TARNet,shared_source_target,1.212636765300794,1.1005727720837242,0.08588680761616656,4.137780999490608,0.0
14,TLearner,shared_source_target,1.1706822677882252,1.1005727720837242,0.08588680761616656,3.9946231078464254,0.0
15,SLearner,shared_source_target,1.1734479618147713,1.1005727720837242,0.08588680761616656,4.00406025878965,0.0
0,DRLearner,htce,0.0613849356577902,0.8024353332099073,0.07397944258952345,0.2256868617629906,0.1
1,TARNet,htce,0.08290369349628342,0.8024353332099073,0.07397944258952345,0.3048023788449241,0.1
2,TLearner,htce,0.04112412664467665,0.8024353332099073,0.07397944258952345,0.15119629898973444,0.1
3,SLearner,htce,0.1326633854097702,0.8024353332099073,0.07397944258952345,0.48774805745333544,0.1
4,DRLearner,target,0.14074001538705258,0.8024353332099073,0.07397944258952345,0.5174424646179119,0.1
5,TARNet,target,0.21333731794451774,0.8024353332099073,0.07397944258952345,0.7843525332052912,0.1
6,TLearner,target,0.21179046940385907,0.8024353332099073,0.07397944258952345,0.7786654148753135,0.1
7,SLearner,target,0.2793313661645447,0.8024353332099073,0.07397944258952345,1.0269851836790918,0.1
8,DRLearner,radial_gan,0.18368812295021955,0.8024353332099073,0.07397944258952345,0.675344782356359,0.1
9,TARNet,radial_gan,0.1272990345040591,0.8024353332099073,0.07397944258952345,0.4680255716621207,0.1
10,TLearner,radial_gan,0.2086390542270558,0.8024353332099073,0.07397944258952345,0.7670789727988734,0.1
11,SLearner,radial_gan,0.23089538500606752,0.8024353332099073,0.07397944258952345,0.848906238626377,0.1
12,DRLearner,shared_source_target,1.068457119209822,0.8024353332099073,0.07397944258952345,3.92827216610739,0.1
13,TARNet,shared_source_target,1.079603815402942,0.8024353332099073,0.07397944258952345,3.9692539290740414,0.1
14,TLearner,shared_source_target,1.055299455835909,0.8024353332099073,0.07397944258952345,3.879896913723861,0.1
15,SLearner,shared_source_target,1.0631835752194148,0.8024353332099073,0.07397944258952345,3.9088835395525123,0.1
0,DRLearner,htce,0.053994969792002606,0.2061604554622736,0.09194724924490047,0.1780672009195637,0.3
1,TARNet,htce,0.0717342071740464,0.2061604554622736,0.09194724924490047,0.23656850871242566,0.3
2,TLearner,htce,0.03742289598878499,0.2061604554622736,0.09194724924490047,0.12341502115283913,0.3
3,SLearner,htce,0.10996817463616494,0.2061604554622736,0.09194724924490047,0.362658320268122,0.3
4,DRLearner,target,0.13131417411318058,0.2061604554622736,0.09194724924490047,0.4330541810741341,0.3
5,TARNet,target,0.1583323209703392,0.2061604554622736,0.09194724924490047,0.5221559215403455,0.3
6,TLearner,target,0.20690299657860456,0.2061604554622736,0.09194724924490047,0.6823346249575841,0.3
7,SLearner,target,0.21997066266727808,0.2061604554622736,0.09194724924490047,0.7254298008957368,0.3
8,DRLearner,radial_gan,0.11976759694690187,0.2061604554622736,0.09194724924490047,0.3949753251340104,0.3
9,TARNet,radial_gan,0.16121443051537168,0.2061604554622736,0.09194724924490047,0.5316606806207647,0.3
10,TLearner,radial_gan,0.1808797218281917,0.2061604554622736,0.09194724924490047,0.5965138214379733,0.3
11,SLearner,radial_gan,0.15658809188759992,0.2061604554622736,0.09194724924490047,0.5164037192199753,0.3
12,DRLearner,shared_source_target,0.8310750871630677,0.2061604554622736,0.09194724924490047,2.7407592798955287,0.3
13,TARNet,shared_source_target,0.8377480265952417,0.2061604554622736,0.09194724924490047,2.762765619581805,0.3
14,TLearner,shared_source_target,0.8310160241063717,0.2061604554622736,0.09194724924490047,2.7405644989145572,0.3
15,SLearner,shared_source_target,0.8220711525169082,0.2061604554622736,0.09194724924490047,2.7110656724005993,0.3
0,DRLearner,htce,0.08002154003245301,-0.39011442228536003,0.1656251048451617,0.19662730289864924,0.5
1,TARNet,htce,0.08763591877862267,-0.39011442228536003,0.1656251048451617,0.21533719970269657,0.5
2,TLearner,htce,0.0461981335132671,-0.39011442228536003,0.1656251048451617,0.11351711536645552,0.5
3,SLearner,htce,0.09793039815045941,-0.39011442228536003,0.1656251048451617,0.24063258533023044,0.5
4,DRLearner,target,0.15039188770862505,-0.39011442228536003,0.1656251048451617,0.36953989195897474,0.5
5,TARNet,target,0.18308079663713397,-0.39011442228536003,0.1656251048451617,0.44986241505345126,0.5
6,TLearner,target,0.20179078483112975,-0.39011442228536003,0.1656251048451617,0.4958362180364852,0.5
7,SLearner,target,0.2661258546568757,-0.39011442228536003,0.1656251048451617,0.6539190449416215,0.5
8,DRLearner,radial_gan,0.17828136139147965,-0.39011442228536003,0.1656251048451617,0.43806934024625555,0.5
9,TARNet,radial_gan,0.17999082942214617,-0.39011442228536003,0.1656251048451617,0.4422698103712382,0.5
10,TLearner,radial_gan,0.2167270835879729,-0.39011442228536003,0.1656251048451617,0.5325373879796712,0.5
11,SLearner,radial_gan,0.23225434648902196,-0.39011442228536003,0.1656251048451617,0.5706906630152846,0.5
12,DRLearner,shared_source_target,0.579869315487513,-0.39011442228536003,0.1656251048451617,1.4248431046410148,0.5
13,TARNet,shared_source_target,0.5893727321283521,-0.39011442228536003,0.1656251048451617,1.448194706992738,0.5
14,TLearner,shared_source_target,0.5765964353517284,-0.39011442228536003,0.1656251048451617,1.4168010500448538,0.5
15,SLearner,shared_source_target,0.5787716753436742,-0.39011442228536003,0.1656251048451617,1.4221460055730792,0.5
0,DRLearner,htce,0.09841087394848372,-0.9863893000329934,0.29501300939030717,0.18118511031037915,0.7
1,TARNet,htce,0.13037721205540095,-0.9863893000329934,0.29501300939030717,0.24003861159269263,0.7
2,TLearner,htce,0.0985589803011318,-0.9863893000329934,0.29501300939030717,0.1814577901958993,0.7
3,SLearner,htce,0.11307173220603724,-0.9863893000329934,0.29501300939030717,0.2081773431202433,0.7
4,DRLearner,target,0.18524857920292595,-0.9863893000329934,0.29501300939030717,0.34106275974434935,0.7
