,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,PO Sharing Scale
0,DRLearner,htce,0.060454599617550835,-0.630372358876164,0.015082064954983425,0.4922649855381448,0.0
1,TARNet,htce,0.09943627837233304,-0.630372358876164,0.015082064954983425,0.8096819504981532,0.0
2,TLearner,htce,0.10532712582653952,-0.630372358876164,0.015082064954983425,0.8576494824179328,0.0
3,SLearner,htce,0.11049687573249851,-0.630372358876164,0.015082064954983425,0.8997453176197577,0.0
4,DRLearner,target,0.13596081037812222,-0.630372358876164,0.015082064954983425,1.107091053086892,0.0
5,TARNet,target,0.25596794866001826,-0.630372358876164,0.015082064954983425,2.0842757927847013,0.0
6,TLearner,target,0.323372864280101,-0.630372358876164,0.015082064954983425,2.633135267875608,0.0
7,SLearner,target,0.4564065715263519,-0.630372358876164,0.015082064954983425,3.716391734512589,0.0
8,DRLearner,radial_gan,0.12244867981703428,-0.630372358876164,0.015082064954983425,0.9970655331542047,0.0
9,TARNet,radial_gan,0.2699395696680449,-0.630372358876164,0.015082064954983425,2.1980428155914153,0.0
10,TLearner,radial_gan,0.21328439736281676,-0.630372358876164,0.015082064954983425,1.7367155096142282,0.0
11,SLearner,radial_gan,0.2768112632126187,-0.630372358876164,0.015082064954983425,2.253997104342674,0.0
12,DRLearner,shared_source_target,0.2181846241054264,-0.630372358876164,0.015082064954983425,1.7766166926812659,0.0
13,TARNet,shared_source_target,0.26868694171388824,-0.630372358876164,0.015082064954983425,2.1878430146558623,0.0
14,TLearner,shared_source_target,0.29205558329914905,-0.630372358876164,0.015082064954983425,2.378127361666488,0.0
15,SLearner,shared_source_target,0.23649485672701587,-0.630372358876164,0.015082064954983425,1.9257118228068164,0.0
0,DRLearner,htce,0.06813643055281754,-0.73251915159247,0.01317025637933649,0.5937207999381967,0.1
1,TARNet,htce,0.08727499609639236,-0.73251915159247,0.01317025637933649,0.7604886266647902,0.1
2,TLearner,htce,0.08090867611633049,-0.73251915159247,0.01317025637933649,0.7050143882792785,0.1
3,SLearner,htce,0.1009301990468339,-0.73251915159247,0.01317025637933649,0.8794760457778292,0.1
4,DRLearner,target,0.15337177807558636,-0.73251915159247,0.01317025637933649,1.3364365293012146,0.1
5,TARNet,target,0.20254987937624538,-0.73251915159247,0.01317025637933649,1.7649600285038238,0.1
6,TLearner,target,0.2449463315355227,-0.73251915159247,0.01317025637933649,2.1343902332609574,0.1
7,SLearner,target,0.3348377778926839,-0.73251915159247,0.01317025637933649,2.9176778373482293,0.1
8,DRLearner,radial_gan,0.2950814403156769,-0.73251915159247,0.01317025637933649,2.571252813945569,0.1
9,TARNet,radial_gan,0.17868459599363962,-0.73251915159247,0.01317025637933649,1.5570049738331984,0.1
10,TLearner,radial_gan,0.2619202068778612,-0.73251915159247,0.01317025637933649,2.2822955867486554,0.1
11,SLearner,radial_gan,0.317829606406436,-0.73251915159247,0.01317025637933649,2.7694736373575455,0.1
12,DRLearner,shared_source_target,0.19153139063977734,-0.73251915159247,0.01317025637933649,1.6689481609368149,0.1
13,TARNet,shared_source_target,0.21895632681212615,-0.73251915159247,0.01317025637933649,1.9079209822365595,0.1
14,TLearner,shared_source_target,0.22624195208279801,-0.73251915159247,0.01317025637933649,1.9714057763277342,0.1
15,SLearner,shared_source_target,0.15746602864747095,-0.73251915159247,0.01317025637933649,1.372112623645523,0.1
0,DRLearner,htce,0.0354493291575991,-0.936812737025081,0.028965763868541484,0.208288613016698,0.3
1,TARNet,htce,0.06733733981928283,-0.936812737025081,0.028965763868541484,0.3956520884453998,0.3
2,TLearner,htce,0.056534584590169475,-0.936812737025081,0.028965763868541484,0.33217864742688163,0.3
3,SLearner,htce,0.07786301716272911,-0.936812737025081,0.028965763868541484,0.45749751082789186,0.3
4,DRLearner,target,0.15205999873704334,-0.936812737025081,0.028965763868541484,0.8934546008318511,0.3
5,TARNet,target,0.1751940701924585,-0.936812737025081,0.028965763868541484,1.0293828051557028,0.3
6,TLearner,target,0.17100911145068695,-0.936812737025081,0.028965763868541484,1.00479336234903,0.3
7,SLearner,target,0.34120910859198833,-0.936812737025081,0.028965763868541484,2.0048326348103602,0.3
8,DRLearner,radial_gan,0.09952920586428274,-0.936812737025081,0.028965763868541484,0.5848009182898992,0.3
9,TARNet,radial_gan,0.1359772637728623,-0.936812737025081,0.028965763868541484,0.7989577333647178,0.3
10,TLearner,radial_gan,0.11976856655315993,-0.936812737025081,0.028965763868541484,0.7037207530627733,0.3
11,SLearner,radial_gan,0.14657392853198148,-0.936812737025081,0.028965763868541484,0.8612202544823203,0.3
12,DRLearner,shared_source_target,0.1440140972255343,-0.936812737025081,0.028965763868541484,0.8461795266308509,0.3
13,TARNet,shared_source_target,0.13945520243996426,-0.936812737025081,0.028965763868541484,0.8193929584689007,0.3
14,TLearner,shared_source_target,0.16389648930199283,-0.936812737025081,0.028965763868541484,0.9630019311014301,0.3
15,SLearner,shared_source_target,0.1498703488799073,-0.936812737025081,0.028965763868541484,0.8805889375718368,0.3
0,DRLearner,htce,0.059753752841584316,-1.1411063224576925,0.07092010421174498,0.22437811947052866,0.5
1,TARNet,htce,0.08627582614018606,-1.1411063224576925,0.07092010421174498,0.32396973753971764,0.5
2,TLearner,htce,0.043688112409805774,-1.1411063224576925,0.07092010421174498,0.16405089286554972,0.5
3,SLearner,htce,0.08064547065299629,-1.1411063224576925,0.07092010421174498,0.30282749096793365,0.5
4,DRLearner,target,0.21293489714471509,-1.1411063224576925,0.07092010421174498,0.7995804366906911,0.5
5,TARNet,target,0.2137214540848815,-1.1411063224576925,0.07092010421174498,0.802533994562762,0.5
6,TLearner,target,0.1807982095814151,-1.1411063224576925,0.07092010421174498,0.6789056810718775,0.5
7,SLearner,target,0.3914769856123791,-1.1411063224576925,0.07092010421174498,1.4700142781085257,0.5
8,DRLearner,radial_gan,0.22271608715882005,-1.1411063224576925,0.07092010421174498,0.8363092598554421,0.5
9,TARNet,radial_gan,0.11115860399577356,-1.1411063224576925,0.07092010421174498,0.4174057250205603,0.5
10,TLearner,radial_gan,0.13117164038478527,-1.1411063224576925,0.07092010421174498,0.4925556069328583,0.5
11,SLearner,radial_gan,0.1615173863750393,-1.1411063224576925,0.07092010421174498,0.6065052936960471,0.5
12,DRLearner,shared_source_target,0.11165003175011355,-1.1411063224576925,0.07092010421174498,0.41925105908128046,0.5
13,TARNet,shared_source_target,0.13014142029666348,-1.1411063224576925,0.07092010421174498,0.488687082613953,0.5
14,TLearner,shared_source_target,0.1110208793169313,-1.1411063224576925,0.07092010421174498,0.4168885624496129,0.5
15,SLearner,shared_source_target,0.11500975025539716,-1.1411063224576925,0.07092010421174498,0.4318669582393539,0.5
0,DRLearner,htce,0.07616105333546523,-1.345399907890304,0.13903327740894691,0.20425540688563176,0.7
1,TARNet,htce,0.06355220297720364,-1.345399907890304,0.13903327740894691,0.17043988376067137,0.7
2,TLearner,htce,0.06636324168365168,-1.345399907890304,0.13903327740894691,0.17797877443524976,0.7
3,SLearner,htce,0.07989584598976221,-1.345399907890304,0.13903327740894691,0.2142717020893861,0.7
4,DRLearner,target,0.25860333226164084,-1.345399907890304,0.13903327740894691,0.6935451459740373,0.7
5,TARNet,target,0.20696138504959355,-1.345399907890304,0.13903327740894691,0.5550472329567133,0.7
6,TLearner,target,0.2182520237799694,-1.345399907890304,0.13903327740894691,0.5853274602759657,0.7
7,SLearner,target,0.5951568202557554,-1.345399907890304,0.13903327740894691,1.596143870892218,0.7
8,DRLearner,radial_gan,0.1568210123214412,-1.345399907890304,0.13903327740894691,0.42057637436871953,0.7
9,TARNet,radial_gan,0.18853339867453905,-1.345399907890304,0.13903327740894691,0.5056254393985237,0.7
