,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Selection bias source,Selection bias target
8,DRLearner,radial_gan,0.3029744271093044,-1.7372353292093925,0.2070440033448482,0.6658473025816124,0,5.0
9,TARNet,radial_gan,0.24534304054528655,-1.7372353292093925,0.2070440033448482,0.5391907274580449,0,5.0
10,TLearner,radial_gan,0.241827014060439,-1.7372353292093925,0.2070440033448482,0.5314635513624312,0,5.0
11,SLearner,radial_gan,0.4056339996896409,-1.7372353292093925,0.2070440033448482,0.8914623821742462,0,5.0
12,DRLearner,shared_source_target,0.40268512356850145,-1.7372353292093925,0.2070440033448482,0.8849816331894492,0,5.0
13,TARNet,shared_source_target,0.40330521767373445,-1.7372353292093925,0.2070440033448482,0.8863444148316345,0,5.0
14,TLearner,shared_source_target,0.3886851875598378,-1.7372353292093925,0.2070440033448482,0.8542139551493457,0,5.0
15,SLearner,shared_source_target,0.4364489341529286,-1.7372353292093925,0.2070440033448482,0.9591844047468211,0,5.0
0,DRLearner,htce,0.12490427204652445,-1.7372353292093925,0.2070440033448482,0.2745022852806448,0,10.0
1,TARNet,htce,0.2935845616123171,-1.7372353292093925,0.2070440033448482,0.6452111826541786,0,10.0
2,TLearner,htce,0.16492075504348863,-1.7372353292093925,0.2070440033448482,0.3624465633391981,0,10.0
3,SLearner,htce,0.21802646309494395,-1.7372353292093925,0.2070440033448482,0.47915704875911497,0,10.0
4,DRLearner,target,0.4188439626746556,-1.7372353292093925,0.2070440033448482,0.9204939354465681,0,10.0
5,TARNet,target,0.47721285562838955,-1.7372353292093925,0.2070440033448482,1.0487713293465402,0,10.0
6,TLearner,target,0.46246556175602826,-1.7372353292093925,0.2070440033448482,1.0163611819325225,0,10.0
7,SLearner,target,0.912585779201365,-1.7372353292093925,0.2070440033448482,2.005590984206558,0,10.0
8,DRLearner,radial_gan,0.46327419696576033,-1.7372353292093925,0.2070440033448482,1.0181383206115515,0,10.0
9,TARNet,radial_gan,0.47769483975909116,-1.7372353292093925,0.2070440033448482,1.0498305865134794,0,10.0
10,TLearner,radial_gan,0.47475425606638855,-1.7372353292093925,0.2070440033448482,1.043368061809719,0,10.0
11,SLearner,radial_gan,0.4909105769883564,-1.7372353292093925,0.2070440033448482,1.0788748298500925,0,10.0
12,DRLearner,shared_source_target,0.40076038939981506,-1.7372353292093925,0.2070440033448482,0.8807516423396139,0,10.0
13,TARNet,shared_source_target,0.4085224154420012,-1.7372353292093925,0.2070440033448482,0.8978102573259318,0,10.0
14,TLearner,shared_source_target,0.4156395433510188,-1.7372353292093925,0.2070440033448482,0.9134515788247857,0,10.0
15,SLearner,shared_source_target,0.42827589162942964,-1.7372353292093925,0.2070440033448482,0.9412224982912862,0,10.0
0,DRLearner,htce,0.042532797297511596,-1.7372353292093925,0.2070440033448482,0.09347438535326094,2,0.0
1,TARNet,htce,0.06189880313544452,-1.7372353292093925,0.2070440033448482,0.13603508221470043,2,0.0
2,TLearner,htce,0.06660572537353227,-1.7372353292093925,0.2070440033448482,0.14637949149569046,2,0.0
3,SLearner,htce,0.0972105257494713,-1.7372353292093925,0.2070440033448482,0.21363970210421118,2,0.0
4,DRLearner,target,0.198218406793237,-1.7372353292093925,0.2070440033448482,0.43562485700380876,2,0.0
5,TARNet,target,0.35992511247004977,-1.7372353292093925,0.2070440033448482,0.7910078997627924,2,0.0
6,TLearner,target,0.28004746552917453,-1.7372353292093925,0.2070440033448482,0.6154606885357535,2,0.0
7,SLearner,target,0.3725567891800009,-1.7372353292093925,0.2070440033448482,0.8187685525170579,2,0.0
8,DRLearner,radial_gan,0.21374847269396577,-1.7372353292093925,0.2070440033448482,0.46975530354867284,2,0.0
9,TARNet,radial_gan,0.16540043546936636,-1.7372353292093925,0.2070440033448482,0.363500757650973,2,0.0
10,TLearner,radial_gan,0.19836483974737676,-1.7372353292093925,0.2070440033448482,0.4359466729024418,2,0.0
11,SLearner,radial_gan,0.22349064296424767,-1.7372353292093925,0.2070440033448482,0.4911656841462991,2,0.0
12,DRLearner,shared_source_target,0.3423917819468135,-1.7372353292093925,0.2070440033448482,0.7524748758849822,2,0.0
13,TARNet,shared_source_target,0.32450288424592044,-1.7372353292093925,0.2070440033448482,0.713160421546561,2,0.0
14,TLearner,shared_source_target,0.32392222512337326,-1.7372353292093925,0.2070440033448482,0.7118843062184248,2,0.0
15,SLearner,shared_source_target,0.3207698482138195,-1.7372353292093925,0.2070440033448482,0.7049563232794895,2,0.0
0,DRLearner,htce,0.044702913676143985,-1.7372353292093925,0.2070440033448482,0.09824365301319864,2,0.5
1,TARNet,htce,0.07094700067525364,-1.7372353292093925,0.2070440033448482,0.15592031801690873,2,0.5
2,TLearner,htce,0.057285852722862435,-1.7372353292093925,0.2070440033448482,0.12589719493996882,2,0.5
3,SLearner,htce,0.12571612279027333,-1.7372353292093925,0.2070440033448482,0.27628649074307166,2,0.5
4,DRLearner,target,0.19174507296090873,-1.7372353292093925,0.2070440033448482,0.42139840260602207,2,0.5
5,TARNet,target,0.16316295585593082,-1.7372353292093925,0.2070440033448482,0.35858344572005574,2,0.5
6,TLearner,target,0.2501977463322356,-1.7372353292093925,0.2070440033448482,0.549859920841489,2,0.5
7,SLearner,target,0.37707937230162314,-1.7372353292093925,0.2070440033448482,0.8287078394759103,2,0.5
8,DRLearner,radial_gan,0.14836647287569937,-1.7372353292093925,0.2070440033448482,0.3260651953380608,2,0.5
9,TARNet,radial_gan,0.19344984340764493,-1.7372353292093925,0.2070440033448482,0.4251449788907282,2,0.5
10,TLearner,radial_gan,0.18065497004752512,-1.7372353292093925,0.2070440033448482,0.39702566864070654,2,0.5
11,SLearner,radial_gan,0.21934097870075414,-1.7372353292093925,0.2070440033448482,0.4820459614593752,2,0.5
12,DRLearner,shared_source_target,0.3158730719003755,-1.7372353292093925,0.2070440033448482,0.6941946714438516,2,0.5
13,TARNet,shared_source_target,0.3688980255397763,-1.7372353292093925,0.2070440033448482,0.8107276827846817,2,0.5
14,TLearner,shared_source_target,0.31900650594131524,-1.7372353292093925,0.2070440033448482,0.7010810236151668,2,0.5
15,SLearner,shared_source_target,0.31483556302132204,-1.7372353292093925,0.2070440033448482,0.691914536796471,2,0.5
0,DRLearner,htce,0.03486526098622652,-1.7372353292093925,0.2070440033448482,0.07662343057457974,2,1.0
1,TARNet,htce,0.05075339359902554,-1.7372353292093925,0.2070440033448482,0.11154080081016912,2,1.0
2,TLearner,htce,0.061457355423433446,-1.7372353292093925,0.2070440033448482,0.13506491198918713,2,1.0
