,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Selection bias source,Selection bias target
0,DRLearner,htce,0.02342621189765108,-0.19657347916209816,0.032484389144851085,0.1299764631713708,0,0.0
1,TARNet,htce,0.036025264061688905,-0.19657347916209816,0.032484389144851085,0.19988022084025112,0,0.0
2,TLearner,htce,0.02966609091941753,-0.19657347916209816,0.032484389144851085,0.16459740015468896,0,0.0
3,SLearner,htce,0.05619857301198507,-0.19657347916209816,0.032484389144851085,0.3118084898783095,0,0.0
4,DRLearner,target,0.11658298697010072,-0.19657347916209816,0.032484389144851085,0.646841426114099,0,0.0
5,TARNet,target,0.1490519624272326,-0.19657347916209816,0.032484389144851085,0.8269901676671112,0,0.0
6,TLearner,target,0.1562685639229095,-0.19657347916209816,0.032484389144851085,0.8670302877950845,0,0.0
7,SLearner,target,0.20813781866686185,-0.19657347916209816,0.032484389144851085,1.1548182711194293,0,0.0
8,DRLearner,radial_gan,0.0992333250346867,-0.19657347916209816,0.032484389144851085,0.5505796956458372,0,0.0
9,TARNet,radial_gan,0.1512129510904208,-0.19657347916209816,0.032484389144851085,0.8389800559436188,0,0.0
10,TLearner,radial_gan,0.172360509930115,-0.19657347916209816,0.032484389144851085,0.9563137894000091,0,0.0
11,SLearner,radial_gan,0.15960492118519642,-0.19657347916209816,0.032484389144851085,0.88554151439556,0,0.0
12,DRLearner,shared_source_target,0.7451968732319013,-0.19657347916209816,0.032484389144851085,4.134601632232258,0,0.0
13,TARNet,shared_source_target,0.7591834708817413,-0.19657347916209816,0.032484389144851085,4.212203956597364,0,0.0
14,TLearner,shared_source_target,0.7629994997105103,-0.19657347916209816,0.032484389144851085,4.23337656157039,0,0.0
15,SLearner,shared_source_target,0.7538522419996387,-0.19657347916209816,0.032484389144851085,4.182624514667948,0,0.0
0,DRLearner,htce,0.03955972430053812,-0.19657347916209816,0.032484389144851085,0.21949058904969784,0,0.5
1,TARNet,htce,0.07075606090801514,-0.19657347916209816,0.032484389144851085,0.39257830437724484,0,0.5
2,TLearner,htce,0.04884568620962982,-0.19657347916209816,0.032484389144851085,0.271012213261115,0,0.5
3,SLearner,htce,0.07746904441655078,-0.19657347916209816,0.032484389144851085,0.4298241833771991,0,0.5
4,DRLearner,target,0.12084768681592273,-0.19657347916209816,0.032484389144851085,0.6705034080371352,0,0.5
5,TARNet,target,0.1350208925632726,-0.19657347916209816,0.032484389144851085,0.7491410965754769,0,0.5
6,TLearner,target,0.19438161689270683,-0.19657347916209816,0.032484389144851085,1.078494260174421,0,0.5
7,SLearner,target,0.18376798701147024,-0.19657347916209816,0.032484389144851085,1.0196062897505116,0,0.5
8,DRLearner,radial_gan,0.13277954428840297,-0.19657347916209816,0.032484389144851085,0.7367053462810804,0,0.5
9,TARNet,radial_gan,0.1593748103063568,-0.19657347916209816,0.032484389144851085,0.8842647822333349,0,0.5
10,TLearner,radial_gan,0.1754783037234332,-0.19657347916209816,0.032484389144851085,0.9736123527325548,0,0.5
11,SLearner,radial_gan,0.18476000420836705,-0.19657347916209816,0.032484389144851085,1.025110333136662,0,0.5
12,DRLearner,shared_source_target,0.7606924615577034,-0.19657347916209816,0.032484389144851085,4.220576341850132,0,0.5
13,TARNet,shared_source_target,0.7684566619258989,-0.19657347916209816,0.032484389144851085,4.263654723776366,0,0.5
14,TLearner,shared_source_target,0.7710161141966646,-0.19657347916209816,0.032484389144851085,4.277855421493244,0,0.5
15,SLearner,shared_source_target,0.7492264271429813,-0.19657347916209816,0.032484389144851085,4.156958945817945,0,0.5
0,DRLearner,htce,0.04797938832536578,-0.19657347916209816,0.032484389144851085,0.26620570269331933,0,1.0
1,TARNet,htce,0.13249326572429118,-0.19657347916209816,0.032484389144851085,0.7351169770044942,0,1.0
2,TLearner,htce,0.05231207135091082,-0.19657347916209816,0.032484389144851085,0.290244878047976,0,1.0
3,SLearner,htce,0.0910145764458742,-0.19657347916209816,0.032484389144851085,0.504979328077419,0,1.0
4,DRLearner,target,0.12151438294062814,-0.19657347916209816,0.032484389144851085,0.6742024612463293,0,1.0
5,TARNet,target,0.15262741669231003,-0.19657347916209816,0.032484389144851085,0.8468279844526904,0,1.0
6,TLearner,target,0.17045540310189788,-0.19657347916209816,0.032484389144851085,0.9457436191745738,0,1.0
7,SLearner,target,0.18564312966220217,-0.19657347916209816,0.032484389144851085,1.0300102086917708,0,1.0
8,DRLearner,radial_gan,0.12263529627455114,-0.19657347916209816,0.032484389144851085,0.6804216635356909,0,1.0
9,TARNet,radial_gan,0.13516401693621327,-0.19657347916209816,0.032484389144851085,0.7499351984930095,0,1.0
10,TLearner,radial_gan,0.19012857552172538,-0.19657347916209816,0.032484389144851085,1.0548969633712995,0,1.0
