,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Selection bias source,Selection bias target
0,DRLearner,htce,0.02618558202918344,0.4713363985855559,0.017715104869717235,0.19673895834472271,0,0.0
1,TARNet,htce,0.02246071610985947,0.4713363985855559,0.017715104869717235,0.16875309039170827,0,0.0
2,TLearner,htce,0.030508850348953436,0.4713363985855559,0.017715104869717235,0.22922077619885164,0,0.0
3,SLearner,htce,0.047559670191738755,0.4713363985855559,0.017715104869717235,0.35732793574392135,0,0.0
4,DRLearner,target,0.11236739778308609,0.4713363985855559,0.017715104869717235,0.8442449271172774,0,0.0
5,TARNet,target,0.1730549684838872,0.4713363985855559,0.017715104869717235,1.300206128622778,0,0.0
6,TLearner,target,0.1872330979697276,0.4713363985855559,0.017715104869717235,1.4067300326250682,0,0.0
7,SLearner,target,0.19360597873883761,0.4713363985855559,0.017715104869717235,1.4546111117155573,0,0.0
8,DRLearner,radial_gan,0.08656144647694487,0.4713363985855559,0.017715104869717235,0.6503582312475206,0,0.0
9,TARNet,radial_gan,0.13286196499767972,0.4713363985855559,0.017715104869717235,0.9982258392479056,0,0.0
10,TLearner,radial_gan,0.14843512476751602,0.4713363985855559,0.017715104869717235,1.1152309616789795,0,0.0
11,SLearner,radial_gan,0.13503685239631177,0.4713363985855559,0.017715104869717235,1.0145663231388906,0,0.0
12,DRLearner,shared_source_target,0.16797752476810288,0.4713363985855559,0.017715104869717235,1.2620579986104652,0,0.0
13,TARNet,shared_source_target,0.18586469042700754,0.4713363985855559,0.017715104869717235,1.3964488376435795,0,0.0
14,TLearner,shared_source_target,0.19478812229244166,0.4713363985855559,0.017715104869717235,1.4634928578264816,0,0.0
15,SLearner,shared_source_target,0.17899199142589853,0.4713363985855559,0.017715104869717235,1.3448124966606647,0,0.0
0,DRLearner,htce,0.016236050296101805,0.4713363985855559,0.017715104869717235,0.12198558807391169,0,0.5
1,TARNet,htce,0.015503305306621203,0.4713363985855559,0.017715104869717235,0.11648028802741799,0,0.5
2,TLearner,htce,0.027079386291660974,0.4713363985855559,0.017715104869717235,0.2034543377992609,0,0.5
3,SLearner,htce,0.05503554298619242,0.4713363985855559,0.017715104869717235,0.4134960753200929,0,0.5
4,DRLearner,target,0.10575405248317025,0.4713363985855559,0.017715104869717235,0.794557176658672,0,0.5
5,TARNet,target,0.1671155200490773,0.4713363985855559,0.017715104869717235,1.255581537238695,0,0.5
