,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Selection bias source,Selection bias target
0,DRLearner,htce,0.046036887072052154,0.10027550675759235,0.09004862191286217,0.15341485514835115,0,0.0
1,TARNet,htce,0.05897783198020819,0.10027550675759235,0.09004862191286217,0.19653969079287056,0,0.0
2,TLearner,htce,0.05431121819250372,0.10027550675759235,0.09004862191286217,0.18098851164486512,0,0.0
3,SLearner,htce,0.06282426463590081,0.10027550675759235,0.09004862191286217,0.20935767103092204,0,0.0
4,DRLearner,target,0.11757810506699343,0.10027550675759235,0.09004862191286217,0.39182119175953073,0,0.0
5,TARNet,target,0.11293280913363461,0.10027550675759235,0.09004862191286217,0.3763410529390651,0,0.0
6,TLearner,target,0.1495496288718459,0.10027550675759235,0.09004862191286217,0.4983641620893198,0,0.0
7,SLearner,target,0.20187403348120453,0.10027550675759235,0.09004862191286217,0.6727317500043087,0,0.0
8,DRLearner,radial_gan,0.10404072813303994,0.10027550675759235,0.09004862191286217,0.3467087861757071,0,0.0
9,TARNet,radial_gan,0.11534513849870058,0.10027550675759235,0.09004862191286217,0.38437997962697273,0,0.0
10,TLearner,radial_gan,0.12352174158099695,0.10027550675759235,0.09004862191286217,0.4116279639555565,0,0.0
11,SLearner,radial_gan,0.15220779714478314,0.10027550675759235,0.09004862191286217,0.5072223305383368,0,0.0
12,DRLearner,shared_source_target,0.1949202360036531,0.10027550675759235,0.09004862191286217,0.6495586837828708,0,0.0
13,TARNet,shared_source_target,0.1782262155220983,0.10027550675759235,0.09004862191286217,0.5939269741493991,0,0.0
14,TLearner,shared_source_target,0.19220638373172175,0.10027550675759235,0.09004862191286217,0.6405149521217629,0,0.0
15,SLearner,shared_source_target,0.2025744212387467,0.10027550675759235,0.09004862191286217,0.6750657454849945,0,0.0
0,DRLearner,htce,0.04229287743072901,0.10027550675759235,0.09004862191286217,0.14093819277327244,0,0.5
1,TARNet,htce,0.04876800271147044,0.10027550675759235,0.09004862191286217,0.1625161158300082,0,0.5
2,TLearner,htce,0.030640705647320774,0.10027550675759235,0.09004862191286217,0.1021081075957606,0,0.5
3,SLearner,htce,0.056564601844173605,0.10027550675759235,0.09004862191286217,0.1884977623457985,0,0.5
4,DRLearner,target,0.11260877429591308,0.10027550675759235,0.09004862191286217,0.3752612284580079,0,0.5
5,TARNet,target,0.1095970309441105,0.10027550675759235,0.09004862191286217,0.36522479464488633,0,0.5
6,TLearner,target,0.15176546352239462,0.10027550675759235,0.09004862191286217,0.505748283248828,0,0.5
7,SLearner,target,0.19137682745158507,0.10027550675759235,0.09004862191286217,0.6377505111560783,0,0.5
8,DRLearner,radial_gan,0.10219971553648564,0.10027550675759235,0.09004862191286217,0.34057373450758227,0,0.5
9,TARNet,radial_gan,0.10816921098358426,0.10027550675759235,0.09004862191286217,0.360466679873155,0,0.5
10,TLearner,radial_gan,0.11622529576584592,0.10027550675759235,0.09004862191286217,0.3873130450063833,0,0.5
11,SLearner,radial_gan,0.1357006973234254,0.10027550675759235,0.09004862191286217,0.4522135215359065,0,0.5
12,DRLearner,shared_source_target,0.1928904874818197,0.10027550675759235,0.09004862191286217,0.642794682233911,0,0.5
13,TARNet,shared_source_target,0.18231143933405766,0.10027550675759235,0.09004862191286217,0.6075407099864777,0,0.5
14,TLearner,shared_source_target,0.18364533967088073,0.10027550675759235,0.09004862191286217,0.6119858438773893,0,0.5
15,SLearner,shared_source_target,0.19303971415075552,0.10027550675759235,0.09004862191286217,0.6432919701535574,0,0.5
