,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Target dataset size
0,DRLearner,htce,0.10072648586916536,-0.13955568198430074,0.09232716943816147,0.3314964806235899,50
1,TARNet,htce,0.16985304665740478,-0.13955568198430074,0.09232716943816147,0.5589958460703187,50
2,TLearner,htce,0.20735298146759315,-0.13955568198430074,0.09232716943816147,0.6824102221991392,50
3,SLearner,htce,0.24381772775181024,-0.13955568198430074,0.09232716943816147,0.802417735175927,50
4,DRLearner,target,0.2829639672318891,-0.13955568198430074,0.09232716943816147,0.9312501917569111,50
5,TARNet,target,0.28870491973005924,-0.13955568198430074,0.09232716943816147,0.9501439864937054,50
6,TLearner,target,0.30940682413066656,-0.13955568198430074,0.09232716943816147,1.0182751080332897,50
7,SLearner,target,0.2976999552971371,-0.13955568198430074,0.09232716943816147,0.9797471500294952,50
8,DRLearner,radial_gan,0.18911770881844908,-0.13955568198430074,0.09232716943816147,0.6223969232714402,50
9,TARNet,radial_gan,0.3483168647637357,-0.13955568198430074,0.09232716943816147,1.1463302210403825,50
10,TLearner,radial_gan,0.3524347576580084,-0.13955568198430074,0.09232716943816147,1.1598824361331377,50
11,SLearner,radial_gan,0.30806649617531096,-0.13955568198430074,0.09232716943816147,1.0138640140072466,50
12,DRLearner,shared_source_target,0.1048455307645192,-0.13955568198430074,0.09232716943816147,0.34505248701612856,50
13,TARNet,shared_source_target,0.08946654031719156,-0.13955568198430074,0.09232716943816147,0.2944393720559296,50
14,TLearner,shared_source_target,0.12528124850641598,-0.13955568198430074,0.09232716943816147,0.4123075734216558,50
15,SLearner,shared_source_target,0.1321354320867605,-0.13955568198430074,0.09232716943816147,0.4348650737139177,50
0,DRLearner,htce,0.08998111794700045,-0.09343795502908811,0.13962475540146996,0.24080759037763608,100
1,TARNet,htce,0.04608699739496187,-0.09343795502908811,0.13962475540146996,0.12333808518536103,100
2,TLearner,htce,0.057064703074633086,-0.09343795502908811,0.13962475540146996,0.15271663607371033,100
3,SLearner,htce,0.21325381598168483,-0.09343795502908811,0.13962475540146996,0.5707101527192929,100
4,DRLearner,target,0.2737757538925091,-0.09343795502908811,0.13962475540146996,0.7326790453693572,100
5,TARNet,target,0.2320440925772033,-0.09343795502908811,0.13962475540146996,0.6209967165310614,100
6,TLearner,target,0.3274180401184876,-0.09343795502908811,0.13962475540146996,0.8762366048123709,100
7,SLearner,target,0.37089570456171705,-0.09343795502908811,0.13962475540146996,0.99259158959916,100
8,DRLearner,radial_gan,0.2652832286494453,-0.09343795502908811,0.13962475540146996,0.7099513377495431,100
9,TARNet,radial_gan,0.25656879239931035,-0.09343795502908811,0.13962475540146996,0.6866297515904275,100
10,TLearner,radial_gan,0.2512746566093269,-0.09343795502908811,0.13962475540146996,0.6724615781802147,100
11,SLearner,radial_gan,0.2968730747837012,-0.09343795502908811,0.13962475540146996,0.7944921269901376,100
12,DRLearner,shared_source_target,0.21882065429059994,-0.09343795502908811,0.13962475540146996,0.5856081329820115,100
13,TARNet,shared_source_target,0.2022051265309262,-0.09343795502908811,0.13962475540146996,0.5411416349661005,100
14,TLearner,shared_source_target,0.1859316843691332,-0.09343795502908811,0.13962475540146996,0.49759062689305805,100
15,SLearner,shared_source_target,0.19458984418773584,-0.09343795502908811,0.13962475540146996,0.520761605989475,100
0,DRLearner,htce,0.0502291290509915,-0.11201306241103162,0.16594287388982187,0.12330376684109581,200
1,TARNet,htce,0.06136872416572363,-0.11201306241103162,0.16594287388982187,0.15064953342479945,200
2,TLearner,htce,0.043495926079066244,-0.11201306241103162,0.16594287388982187,0.10677492580741564,200
3,SLearner,htce,0.09569154515412544,-0.11201306241103162,0.16594287388982187,0.23490608328825016,200
4,DRLearner,target,0.20522406315237463,-0.11201306241103162,0.16594287388982187,0.5037893451712799,200
5,TARNet,target,0.22881035733170174,-0.11201306241103162,0.16594287388982187,0.5616895909665202,200
6,TLearner,target,0.25794688518441916,-0.11201306241103162,0.16594287388982187,0.633214694124558,200
7,SLearner,target,0.3933267391699674,-0.11201306241103162,0.16594287388982187,0.9655486657900716,200
8,DRLearner,radial_gan,0.15960016674544003,-0.11201306241103162,0.16594287388982187,0.3917906226922979,200
9,TARNet,radial_gan,0.1865125313200195,-0.11201306241103162,0.16594287388982187,0.4578557922332181,200
10,TLearner,radial_gan,0.28269839371997874,-0.11201306241103162,0.16594287388982187,0.6939753382984944,200
11,SLearner,radial_gan,0.30315035987037847,-0.11201306241103162,0.16594287388982187,0.7441813544747016,200
12,DRLearner,shared_source_target,0.2089452489130011,-0.11201306241103162,0.16594287388982187,0.5129242083486784,200
13,TARNet,shared_source_target,0.21333425437155612,-0.11201306241103162,0.16594287388982187,0.5236984526159155,200
14,TLearner,shared_source_target,0.21546212334494166,-0.11201306241103162,0.16594287388982187,0.5289220004798727,200
15,SLearner,shared_source_target,0.20398171149980862,-0.11201306241103162,0.16594287388982187,0.5007395881598228,200
0,DRLearner,htce,0.07515306333984516,-0.22389927833598644,0.14802092979407908,0.19533727447879093,300
1,TARNet,htce,0.07033034177601931,-0.22389927833598644,0.14802092979407908,0.18280209302400693,300
2,TLearner,htce,0.0665635438966845,-0.22389927833598644,0.14802092979407908,0.17301146043283158,300
3,SLearner,htce,0.19669062241631693,-0.22389927833598644,0.14802092979407908,0.5112367798581807,300
4,DRLearner,target,0.191073746502396,-0.22389927833598644,0.14802092979407908,0.49663743841617763,300
5,TARNet,target,0.17532123362680058,-0.22389927833598644,0.14802092979407908,0.4556936259544511,300
6,TLearner,target,0.22844014518349237,-0.22389927833598644,0.14802092979407908,0.5937598995784945,300
7,SLearner,target,0.40931198978636146,-0.22389927833598644,0.14802092979407908,1.0638806316490903,300
8,DRLearner,radial_gan,0.1609937475747452,-0.22389927833598644,0.14802092979407908,0.41845373244690914,300
9,TARNet,radial_gan,0.14834589201714304,-0.22389927833598644,0.14802092979407908,0.38557952183155086,300
10,TLearner,radial_gan,0.1458655687611417,-0.22389927833598644,0.14802092979407908,0.37913268436249475,300
11,SLearner,radial_gan,0.2049138733584866,-0.22389927833598644,0.14802092979407908,0.5326105915833899,300
12,DRLearner,shared_source_target,0.18590054696744174,-0.22389927833598644,0.14802092979407908,0.4831912972665706,300
13,TARNet,shared_source_target,0.19046835550484714,-0.22389927833598644,0.14802092979407908,0.495063910708858,300
14,TLearner,shared_source_target,0.18731435931516874,-0.22389927833598644,0.14802092979407908,0.4868660676399431,300
15,SLearner,shared_source_target,0.16832355467444807,-0.22389927833598644,0.14802092979407908,0.4375053116864228,300
0,DRLearner,htce,0.029098518263305787,-0.11762126672781932,0.14218763669331247,0.07716848191617158,500
1,TARNet,htce,0.049485960433138666,-0.11762126672781932,0.14218763669331247,0.1312354260871291,500
2,TLearner,htce,0.037023848108961505,-0.11762126672781932,0.14218763669331247,0.09818624190450088,500
3,SLearner,htce,0.09709723105674227,-0.11762126672781932,0.14218763669331247,0.2574992256001324,500
4,DRLearner,target,0.1467481126542705,-0.11762126672781932,0.14218763669331247,0.38917201814615227,500
5,TARNet,target,0.12250021407324356,-0.11762126672781932,0.14218763669331247,0.3248672481842139,500
6,TLearner,target,0.22563677168609872,-0.11762126672781932,0.14218763669331247,0.5983826041561443,500
7,SLearner,target,0.23555233619603716,-0.11762126672781932,0.14218763669331247,0.6246784125423301,500
8,DRLearner,radial_gan,0.11532180693886124,-0.11762126672781932,0.14218763669331247,0.305830306985904,500
9,TARNet,radial_gan,0.11464280610298033,-0.11762126672781932,0.14218763669331247,0.3040296151688634,500
10,TLearner,radial_gan,0.14217653111600737,-0.11762126672781932,0.14218763669331247,0.37704830778841103,500
11,SLearner,radial_gan,0.19220524560183166,-0.11762126672781932,0.14218763669331247,0.5097231029155924,500
12,DRLearner,shared_source_target,0.19454484909572783,-0.11762126672781932,0.14218763669331247,0.5159276679823096,500
13,TARNet,shared_source_target,0.17696223779561687,-0.11762126672781932,0.14218763669331247,0.4692990592719243,500
14,TLearner,shared_source_target,0.18480253006534547,-0.11762126672781932,0.14218763669331247,0.490091301913262,500
15,SLearner,shared_source_target,0.19454513033796314,-0.11762126672781932,0.14218763669331247,0.5159284138290965,500
0,DRLearner,htce,0.043952782419322885,-0.15114542709675008,0.14866343449483696,0.1139946034753098,1000
1,TARNet,htce,0.045759901566111476,-0.15114542709675008,0.14866343449483696,0.11868149288780445,1000
2,TLearner,htce,0.03883821130695074,-0.15114542709675008,0.14866343449483696,0.10072960695384228,1000
3,SLearner,htce,0.07551914601611354,-0.15114542709675008,0.14866343449483696,0.1958641667499126,1000
4,DRLearner,target,0.12107925692730424,-0.15114542709675008,0.14866343449483696,0.31402748865439944,1000
5,TARNet,target,0.09597864927042542,-0.15114542709675008,0.14866343449483696,0.24892731389100828,1000
6,TLearner,target,0.16526608170847557,-0.15114542709675008,0.14866343449483696,0.42862909730132287,1000
7,SLearner,target,0.2068808867185392,-0.15114542709675008,0.14866343449483696,0.5365599934745536,1000
8,DRLearner,radial_gan,0.1230444138832676,-0.15114542709675008,0.14866343449483696,0.3191242601357723,1000
9,TARNet,radial_gan,0.09950720332259604,-0.15114542709675008,0.14866343449483696,0.2580788646661317,1000
10,TLearner,radial_gan,0.1262599924851343,-0.15114542709675008,0.14866343449483696,0.3274640872749601,1000
11,SLearner,radial_gan,0.2052173413808944,-0.15114542709675008,0.14866343449483696,0.5322454727391235,1000
12,DRLearner,shared_source_target,0.1778345045904696,-0.15114542709675008,0.14866343449483696,0.4612261777108,1000
13,TARNet,shared_source_target,0.18990609349282672,-0.15114542709675008,0.14866343449483696,0.4925346845787561,1000
14,TLearner,shared_source_target,0.19804713693856527,-0.15114542709675008,0.14866343449483696,0.5136490479566761,1000
15,SLearner,shared_source_target,0.20362238429628837,-0.15114542709675008,0.14866343449483696,0.5281088404166184,1000
0,DRLearner,htce,0.02732400459304516,-0.1905480209294911,0.15391920120885183,0.0696462839654688,2000
1,TARNet,htce,0.02467472732683745,-0.1905480209294911,0.15391920120885183,0.0628935286672016,2000
