,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Target dataset size
0,DRLearner,htce,0.12574696039630948,2.137633903829823,0.19716641965544657,0.28319202621631756,50
1,TARNet,htce,0.1863911595658027,2.137633903829823,0.19716641965544657,0.4197675234446287,50
2,TLearner,htce,0.08148479778965173,2.137633903829823,0.19716641965544657,0.1835101613522233,50
3,SLearner,htce,0.20281924462573397,2.137633903829823,0.19716641965544657,0.4567648606392102,50
4,DRLearner,target,0.27490845972378186,2.137633903829823,0.19716641965544657,0.6191154321967179,50
5,TARNet,target,0.3631523944025156,2.137633903829823,0.19716641965544657,0.8178477004297751,50
6,TLearner,target,0.3906924623406708,2.137633903829823,0.19716641965544657,0.8798700953804056,50
7,SLearner,target,1.0008857714042658,2.137633903829823,0.19716641965544657,2.254073328864137,50
8,DRLearner,radial_gan,0.31171248181947886,2.137633903829823,0.19716641965544657,0.7020009791502365,50
9,TARNet,radial_gan,0.32251570165374893,2.137633903829823,0.19716641965544657,0.7263306782927459,50
10,TLearner,radial_gan,0.3532430565163549,2.137633903829823,0.19716641965544657,0.7955310936060419,50
11,SLearner,radial_gan,0.466157820857671,2.137633903829823,0.19716641965544657,1.0498240069518328,50
12,DRLearner,shared_source_target,1.4113057259295212,2.137633903829823,0.19716641965544657,3.1783712852943196,50
13,TARNet,shared_source_target,1.3826746983015752,2.137633903829823,0.19716641965544657,3.1138919634796243,50
14,TLearner,shared_source_target,1.3825757927892808,2.137633903829823,0.19716641965544657,3.1136692205016443,50
15,SLearner,shared_source_target,1.3725898065282207,2.137633903829823,0.19716641965544657,3.0911799955205774,50
0,DRLearner,htce,0.12690590700963086,2.3377932837397135,0.28102951467117077,0.23938992612252893,100
1,TARNet,htce,0.1524578361306391,2.3377932837397135,0.28102951467117077,0.28759000260992246,100
2,TLearner,htce,0.11112493263025616,2.3377932837397135,0.28102951467117077,0.20962136467539838,100
3,SLearner,htce,0.22501743521222947,2.3377932837397135,0.28102951467117077,0.42446335604889224,100
4,DRLearner,target,0.5217006323035327,2.3377932837397135,0.28102951467117077,0.9841139689088031,100
5,TARNet,target,0.3985366537723785,2.3377932837397135,0.28102951467117077,0.7517826581267747,100
6,TLearner,target,0.3606265630069898,2.3377932837397135,0.28102951467117077,0.6802706691148208,100
7,SLearner,target,0.5024637029662209,2.3377932837397135,0.28102951467117077,0.9478262404539417,100
8,DRLearner,radial_gan,0.4617419017546578,2.3377932837397135,0.28102951467117077,0.8710103599853312,100
9,TARNet,radial_gan,0.3036923358796869,2.3377932837397135,0.28102951467117077,0.5728723553009967,100
10,TLearner,radial_gan,0.4872289319832429,2.3377932837397135,0.28102951467117077,0.9190880139517508,100
11,SLearner,radial_gan,0.5746310018394692,2.3377932837397135,0.28102951467117077,1.0839595754012132,100
12,DRLearner,shared_source_target,1.2826866113455873,2.3377932837397135,0.28102951467117077,2.4196056776543444,100
13,TARNet,shared_source_target,1.2921875094210615,2.3377932837397135,0.28102951467117077,2.437527769241562,100
14,TLearner,shared_source_target,1.2699705532769197,2.3377932837397135,0.28102951467117077,2.3956186444786773,100
15,SLearner,shared_source_target,1.3074525586958246,2.3377932837397135,0.28102951467117077,2.4663231114305186,100
0,DRLearner,htce,0.027569239044035777,2.1972048193116707,0.23103520766780727,0.057356903243475865,200
1,TARNet,htce,0.03552783761003563,2.1972048193116707,0.23103520766780727,0.07391450815867111,200
2,TLearner,htce,0.03870784216546266,2.1972048193116707,0.23103520766780727,0.08053040398764573,200
3,SLearner,htce,0.14587543844335274,2.1972048193116707,0.23103520766780727,0.3034890950392437,200
4,DRLearner,target,0.4657043548174197,2.1972048193116707,0.23103520766780727,0.9688827310997808,200
5,TARNet,target,0.35873725297401154,2.1972048193116707,0.23103520766780727,0.746341162184237,200
6,TLearner,target,0.3308248629155511,2.1972048193116707,0.23103520766780727,0.6882703444398632,200
7,SLearner,target,0.4804630605499528,2.1972048193116707,0.23103520766780727,0.9995877373332759,200
8,DRLearner,radial_gan,0.17680464015489122,2.1972048193116707,0.23103520766780727,0.36783629109833993,200
9,TARNet,radial_gan,0.3830829808242952,2.1972048193116707,0.23103520766780727,0.7969916554557517,200
10,TLearner,radial_gan,0.254963894985237,2.1972048193116707,0.23103520766780727,0.5304440732618504,200
