,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Target dataset size
0,DRLearner,htce,0.06704615364185654,0.01883498709622463,0.029729843111609477,0.38884593147104984,50
1,TARNet,htce,0.05282962342718267,0.01883498709622463,0.029729843111609477,0.30639467016319666,50
2,TLearner,htce,0.051900574761208365,0.01883498709622463,0.029729843111609477,0.3010064894208314,50
3,SLearner,htce,0.08098409911891362,0.01883498709622463,0.029729843111609477,0.46968149171466494,50
4,DRLearner,target,0.0858681538029838,0.01883498709622463,0.029729843111609477,0.49800742377525054,50
5,TARNet,target,0.08457421766143135,0.01883498709622463,0.029729843111609477,0.4905030140977965,50
6,TLearner,target,0.10158561703601991,0.01883498709622463,0.029729843111609477,0.5891636094657661,50
7,SLearner,target,0.16413695949452595,0.01883498709622463,0.029729843111609477,0.9519410948524564,50
8,DRLearner,radial_gan,0.08629826655899982,0.01883498709622463,0.029729843111609477,0.5005019381681869,50
9,TARNet,radial_gan,0.09989266030980684,0.01883498709622463,0.029729843111609477,0.5793450098983551,50
10,TLearner,radial_gan,0.14734759267697206,0.01883498709622463,0.029729843111609477,0.8545682162552093,50
11,SLearner,radial_gan,0.18675366216517514,0.01883498709622463,0.029729843111609477,1.083110630151228,50
12,DRLearner,shared_source_target,0.17519704476290604,0.01883498709622463,0.029729843111609477,1.016085999887659,50
13,TARNet,shared_source_target,0.1712881455824486,0.01883498709622463,0.029729843111609477,0.9934156532638895,50
14,TLearner,shared_source_target,0.1832517594505634,0.01883498709622463,0.029729843111609477,1.0628007309397378,50
15,SLearner,shared_source_target,0.2182313761578959,0.01883498709622463,0.029729843111609477,1.265671155300242,50
0,DRLearner,htce,0.047153473458600895,0.06010457941306015,0.11686519396999591,0.13793392594626105,100
1,TARNet,htce,0.0882009274328238,0.06010457941306015,0.11686519396999591,0.2580064478938524,100
2,TLearner,htce,0.08198671523352014,0.06010457941306015,0.11686519396999591,0.2398285572223274,100
3,SLearner,htce,0.2154936944925178,0.06010457941306015,0.11686519396999591,0.6303648303685134,100
4,DRLearner,target,0.20702011575824517,0.06010457941306015,0.11686519396999591,0.6055778126600697,100
5,TARNet,target,0.20634213101366186,0.06010457941306015,0.11686519396999591,0.6035945632683966,100
6,TLearner,target,0.2563507143839709,0.06010457941306015,0.11686519396999591,0.7498802921730493,100
7,SLearner,target,0.32986638754506653,0.06010457941306015,0.11686519396999591,0.9649292519616623,100
8,DRLearner,radial_gan,0.2147288324056101,0.06010457941306015,0.11686519396999591,0.6281274462965373,100
9,TARNet,radial_gan,0.34757493269355927,0.06010457941306015,0.11686519396999591,1.0167305080721531,100
10,TLearner,radial_gan,0.1794272726074755,0.06010457941306015,0.11686519396999591,0.5248628853250435,100
11,SLearner,radial_gan,0.24771189705870036,0.06010457941306015,0.11686519396999591,0.7246099164868697,100
12,DRLearner,shared_source_target,0.2564311492859766,0.06010457941306015,0.11686519396999591,0.7501155813469527,100
13,TARNet,shared_source_target,0.3047510052680764,0.06010457941306015,0.11686519396999591,0.8914614239309682,100
14,TLearner,shared_source_target,0.2721086666479436,0.06010457941306015,0.11686519396999591,0.7959756497621744,100
15,SLearner,shared_source_target,0.282616062692725,0.06010457941306015,0.11686519396999591,0.8267120151160728,100
0,DRLearner,htce,0.01660102853335758,0.08307608994711217,0.07185522300743544,0.061930676667994886,200
1,TARNet,htce,0.019566249358898547,0.08307608994711217,0.07185522300743544,0.07299252936144612,200
2,TLearner,htce,0.027039310355307464,0.08307608994711217,0.07185522300743544,0.10087102636895655,200
3,SLearner,htce,0.1163491439523082,0.08307608994711217,0.07185522300743544,0.43404426419903597,200
4,DRLearner,target,0.16631207035401677,0.08307608994711217,0.07185522300743544,0.6204325855101869,200
5,TARNet,target,0.08353111290039056,0.08307608994711217,0.07185522300743544,0.3116155323965093,200
6,TLearner,target,0.17468109172458177,0.08307608994711217,0.07185522300743544,0.6516534918225004,200
7,SLearner,target,0.25594879528350956,0.08307608994711217,0.07185522300743544,0.9548253020838547,200
8,DRLearner,radial_gan,0.14760440559960056,0.08307608994711217,0.07185522300743544,0.5506430339296338,200
9,TARNet,radial_gan,0.10241808366924611,0.08307608994711217,0.07185522300743544,0.3820739908934356,200
10,TLearner,radial_gan,0.14191885457269937,0.08307608994711217,0.07185522300743544,0.5294329009779986,200
11,SLearner,radial_gan,0.16981434444790178,0.08307608994711217,0.07185522300743544,0.6334979328816018,200
12,DRLearner,shared_source_target,0.20747457112103934,0.08307608994711217,0.07185522300743544,0.7739906328761222,200
13,TARNet,shared_source_target,0.23487595548305096,0.08307608994711217,0.07185522300743544,0.8762123880986569,200
14,TLearner,shared_source_target,0.24827876840035734,0.08307608994711217,0.07185522300743544,0.9262120174321925,200
15,SLearner,shared_source_target,0.26716202110207926,0.08307608994711217,0.07185522300743544,0.9966566055587968,200
0,DRLearner,htce,0.029861286987858445,0.02394085168380385,0.050451632365149615,0.1329446638303434,300
1,TARNet,htce,0.0560234916148883,0.02394085168380385,0.050451632365149615,0.2494207387100142,300
2,TLearner,htce,0.05558195136211136,0.02394085168380385,0.050451632365149615,0.24745496876524042,300
3,SLearner,htce,0.07405334234646559,0.02394085168380385,0.050451632365149615,0.32969097104780387,300
4,DRLearner,target,0.1293287712944431,0.02394085168380385,0.050451632365149615,0.575781279297238,300
5,TARNet,target,0.1241546263018462,0.02394085168380385,0.050451632365149615,0.5527456021367079,300
6,TLearner,target,0.12363639420164328,0.02394085168380385,0.050451632365149615,0.5504383944006319,300
7,SLearner,target,0.20877348730761092,0.02394085168380385,0.050451632365149615,0.9294750456698022,300
8,DRLearner,radial_gan,0.21249861734175968,0.02394085168380385,0.050451632365149615,0.9460596007934841,300
9,TARNet,radial_gan,0.1330674846429347,0.02394085168380385,0.050451632365149615,0.5924263083435524,300
10,TLearner,radial_gan,0.14634452673134604,0.02394085168380385,0.050451632365149615,0.6515366841898064,300
11,SLearner,radial_gan,0.17978162454587587,0.02394085168380385,0.050451632365149615,0.8004011229603933,300
12,DRLearner,shared_source_target,0.24065794552178763,0.02394085168380385,0.050451632365149615,1.0714270178142,300
13,TARNet,shared_source_target,0.23437871868152926,0.02394085168380385,0.050451632365149615,1.0434714343280616,300
14,TLearner,shared_source_target,0.2485703927794643,0.02394085168380385,0.050451632365149615,1.1066538196990237,300
15,SLearner,shared_source_target,0.24896159225164274,0.02394085168380385,0.050451632365149615,1.108395468755895,300
0,DRLearner,htce,0.046742846587342964,0.10544321460947849,0.09100157283762324,0.15494968854476332,500
1,TARNet,htce,0.058588555655074835,0.10544321460947849,0.09100157283762324,0.19421749238309322,500
2,TLearner,htce,0.03575318598990563,0.10544321460947849,0.09100157283762324,0.11851963322916195,500
3,SLearner,htce,0.06534409438496767,0.10544321460947849,0.09100157283762324,0.21661169167930008,500
4,DRLearner,target,0.11372720599144188,0.10544321460947849,0.09100157283762324,0.37699875882637723,500
5,TARNet,target,0.1317066094747588,0.10544321460947849,0.09100157283762324,0.43659938594597064,500
6,TLearner,target,0.18837169385295544,0.10544321460947849,0.09100157283762324,0.6244406882371712,500
7,SLearner,target,0.21253158004714817,0.10544321460947849,0.09100157283762324,0.7045292389862557,500
8,DRLearner,radial_gan,0.14972573297096917,0.10544321460947849,0.09100157283762324,0.4963316824882924,500
9,TARNet,radial_gan,0.1618190946977302,0.10544321460947849,0.09100157283762324,0.5364204398026189,500
10,TLearner,radial_gan,0.15075307994153278,0.10544321460947849,0.09100157283762324,0.49973727510274274,500
11,SLearner,radial_gan,0.20170375175589167,0.10544321460947849,0.09100157283762324,0.6686356479057186,500
12,DRLearner,shared_source_target,0.21010042136725507,0.10544321460947849,0.09100157283762324,0.6964700960851399,500
13,TARNet,shared_source_target,0.24388885427068593,0.10544321460947849,0.09100157283762324,0.8084766925387653,500
14,TLearner,shared_source_target,0.21463839219208408,0.10544321460947849,0.09100157283762324,0.7115131928853865,500
15,SLearner,shared_source_target,0.2342850098121356,0.10544321460947849,0.09100157283762324,0.7766405332902253,500
0,DRLearner,htce,0.03575623496988716,0.07962325145289434,0.10750299421139121,0.10905397553102858,1000
1,TARNet,htce,0.04939481869607581,0.07962325145289434,0.10750299421139121,0.1506506866278836,1000
2,TLearner,htce,0.03677965568102765,0.07962325145289434,0.10750299421139121,0.11217533596745753,1000
3,SLearner,htce,0.07764475316533989,0.07962325145289434,0.10750299421139121,0.23681097909040988,1000
4,DRLearner,target,0.0962366240740709,0.07962325145289434,0.10750299421139121,0.29351486407338717,1000
5,TARNet,target,0.09885330365646686,0.07962325145289434,0.10750299421139121,0.3014955508372893,1000
6,TLearner,target,0.1799323122770766,0.07962325145289434,0.10750299421139121,0.5487807650003154,1000
7,SLearner,target,0.22182706139829886,0.07962325145289434,0.10750299421139121,0.6765567724404737,1000
8,DRLearner,radial_gan,0.10101357674789617,0.07962325145289434,0.10750299421139121,0.3080842302396781,1000
9,TARNet,radial_gan,0.1219048203128458,0.07962325145289434,0.10750299421139121,0.3718010384121121,1000
10,TLearner,radial_gan,0.14747162592789673,0.07962325145289434,0.10750299421139121,0.4497779785541163,1000
11,SLearner,radial_gan,0.15576212262325945,0.07962325145289434,0.10750299421139121,0.4750634042852531,1000
12,DRLearner,shared_source_target,0.18345195159896935,0.07962325145289434,0.10750299421139121,0.5595154147980637,1000
13,TARNet,shared_source_target,0.2161186514812592,0.07962325145289434,0.10750299421139121,0.659146527879261,1000
14,TLearner,shared_source_target,0.20873117321741072,0.07962325145289434,0.10750299421139121,0.6366152441884524,1000
15,SLearner,shared_source_target,0.23314837045192827,0.07962325145289434,0.10750299421139121,0.7110859604702953,1000
0,DRLearner,htce,0.01421518486882937,0.0692252986005764,0.06956800275191662,0.05389490918385711,2000
1,TARNet,htce,0.013913818962666847,0.0692252986005764,0.06956800275191662,0.05275232199321457,2000
2,TLearner,htce,0.01722405784921414,0.0692252986005764,0.06956800275191662,0.06530263532459726,2000
3,SLearner,htce,0.030275311359182294,0.0692252986005764,0.06956800275191662,0.11478465959271746,2000
4,DRLearner,target,0.054886891737260204,0.0692252986005764,0.06956800275191662,0.2080960657817628,2000
5,TARNet,target,0.05092446827569399,0.0692252986005764,0.06956800275191662,0.19307308475269636,2000
6,TLearner,target,0.08130327047651868,0.0692252986005764,0.06956800275191662,0.30825011557119425,2000
7,SLearner,target,0.11438034330782265,0.0692252986005764,0.06956800275191662,0.4336572666396249,2000
8,DRLearner,radial_gan,0.06228848647766521,0.0692252986005764,0.06956800275191662,0.23615818949177914,2000
9,TARNet,radial_gan,0.0956467935473074,0.0692252986005764,0.06956800275191662,0.3626316013140791,2000
10,TLearner,radial_gan,0.08643847459630218,0.0692252986005764,0.06956800275191662,0.32771953241171486,2000
11,SLearner,radial_gan,0.11238800880454804,0.0692252986005764,0.06956800275191662,0.42610360567012867,2000
12,DRLearner,shared_source_target,0.15333083083455884,0.0692252986005764,0.06956800275191662,0.5813326579406232,2000
13,TARNet,shared_source_target,0.17936989734660055,0.0692252986005764,0.06956800275191662,0.6800561805573552,2000
14,TLearner,shared_source_target,0.16233959703396042,0.0692252986005764,0.06956800275191662,0.61548815015937,2000
15,SLearner,shared_source_target,0.17141113969992164,0.0692252986005764,0.06956800275191662,0.6498816506766606,2000
0,DRLearner,htce,0.007722845503046262,0.04756563753860982,0.07421725981603354,0.028348160890822132,4000
1,TARNet,htce,0.017629409718935275,0.04756563753860982,0.07421725981603354,0.06471207315043019,4000
2,TLearner,htce,0.01773121096650389,0.04756563753860982,0.07421725981603354,0.06508575382859774,4000
3,SLearner,htce,0.023780906561323412,0.04756563753860982,0.07421725981603354,0.08729230243750036,4000
4,DRLearner,target,0.050340490029103326,0.04756563753860982,0.07421725981603354,0.18478426249818763,4000
5,TARNet,target,0.04637644775526637,0.04756563753860982,0.07421725981603354,0.17023349774283614,4000
6,TLearner,target,0.06247146694832366,0.04756563753860982,0.07421725981603354,0.2293133010932574,4000
7,SLearner,target,0.07241053959099365,0.04756563753860982,0.07421725981603354,0.26579654166421535,4000
8,DRLearner,radial_gan,0.07608887246786353,0.04756563753860982,0.07421725981603354,0.2792985561953072,4000
9,TARNet,radial_gan,0.07088335329836795,0.04756563753860982,0.07421725981603354,0.26019071636102437,4000
10,TLearner,radial_gan,0.08097394395996822,0.04756563753860982,0.07421725981603354,0.2972301323956505,4000
11,SLearner,radial_gan,0.09844490617152557,0.04756563753860982,0.07421725981603354,0.36136059408821486,4000
12,DRLearner,shared_source_target,0.11207783024391325,0.04756563753860982,0.07421725981603354,0.41140281296517756,4000
13,TARNet,shared_source_target,0.10962410425620496,0.04756563753860982,0.07421725981603354,0.40239594897261044,4000
14,TLearner,shared_source_target,0.12331904166374687,0.04756563753860982,0.07421725981603354,0.45266579949151586,4000
15,SLearner,shared_source_target,0.13648897248158257,0.04756563753860982,0.07421725981603354,0.5010085143105212,4000
0,DRLearner,htce,0.014215352131018046,0.06613231745367959,0.07889121411543829,0.05061081165775887,6000
1,TARNet,htce,0.02944846443981843,0.06613231745367959,0.07889121411543829,0.1048451472490624,6000
2,TLearner,htce,0.020961679065489833,0.06613231745367959,0.07889121411543829,0.07462970888347008,6000
3,SLearner,htce,0.031766402681737395,0.06613231745367959,0.07889121411543829,0.11309768540041075,6000
4,DRLearner,target,0.04156430931430261,0.06613231745367959,0.07889121411543829,0.14798109895574924,6000
5,TARNet,target,0.04739618396860744,0.06613231745367959,0.07889121411543829,0.16874427858157404,6000
6,TLearner,target,0.06311213509320095,0.06613231745367959,0.07889121411543829,0.2246976615902004,6000
