,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Target dataset size
0,DRLearner,htce,0.06453424862841389,0.46576159685808366,0.0462053193418641,0.3002232139502146,50
1,TARNet,htce,0.1852850673469185,0.46576159685808366,0.0462053193418641,0.8619745266760848,50
2,TLearner,htce,0.07510413986762028,0.46576159685808366,0.0462053193418641,0.3493959677419365,50
3,SLearner,htce,0.3287449911096726,0.46576159685808366,0.0462053193418641,1.5293720760471554,50
4,DRLearner,target,0.17013672481840994,0.46576159685808366,0.0462053193418641,0.7915021158773765,50
5,TARNet,target,0.26562589720307245,0.46576159685808366,0.0462053193418641,1.2357323787233772,50
6,TLearner,target,0.2521217354246262,0.46576159685808366,0.0462053193418641,1.1729089487308302,50
7,SLearner,target,0.40199812076201247,0.46576159685808366,0.0462053193418641,1.8701568606158598,50
8,DRLearner,radial_gan,0.26785449364622094,0.46576159685808366,0.0462053193418641,1.2461001508905651,50
9,TARNet,radial_gan,0.23429387865417045,0.46576159685808366,0.0462053193418641,1.0899710270655623,50
10,TLearner,radial_gan,0.2522808401380451,0.46576159685808366,0.0462053193418641,1.173649128239114,50
11,SLearner,radial_gan,0.42047458972819113,0.46576159685808366,0.0462053193418641,1.9561122256099948,50
12,DRLearner,shared_source_target,0.45089606467745674,0.46576159685808366,0.0462053193418641,2.0976375889091528,50
13,TARNet,shared_source_target,0.4270434302276887,0.46576159685808366,0.0462053193418641,1.9866714782332164,50
14,TLearner,shared_source_target,0.43492518712641204,0.46576159685808366,0.0462053193418641,2.023338619139032,50
15,SLearner,shared_source_target,0.4530730657991652,0.46576159685808366,0.0462053193418641,2.1077653317344525,50
0,DRLearner,htce,0.0813205874070391,0.4353694462107368,0.039632812428318134,0.4084821290909678,100
1,TARNet,htce,0.06099641056632685,0.4353694462107368,0.039632812428318134,0.3063915848311159,100
2,TLearner,htce,0.04802121898964764,0.4353694462107368,0.039632812428318134,0.2412157904891983,100
3,SLearner,htce,0.11368438686116106,0.4353694462107368,0.039632812428318134,0.5710490033355151,100
4,DRLearner,target,0.15554513524329666,0.4353694462107368,0.039632812428318134,0.7813200819110729,100
5,TARNet,target,0.16156672735163205,0.4353694462107368,0.039632812428318134,0.811567192063124,100
6,TLearner,target,0.21957911545868095,0.4353694462107368,0.039632812428318134,1.1029697084887207,100
7,SLearner,target,0.34235584128524454,0.4353694462107368,0.039632812428318134,1.7196905164364453,100
8,DRLearner,radial_gan,0.12460027520400602,0.4353694462107368,0.039632812428318134,0.6258806942194722,100
9,TARNet,radial_gan,0.23369644561915062,0.4353694462107368,0.039632812428318134,1.1738825887925048,100
10,TLearner,radial_gan,0.18837006003067452,0.4353694462107368,0.039632812428318134,0.9462032387097948,100
11,SLearner,radial_gan,0.23237855744143648,0.4353694462107368,0.039632812428318134,1.1672626935617691,100
12,DRLearner,shared_source_target,0.41349813270835706,0.4353694462107368,0.039632812428318134,2.0770459610480962,100
13,TARNet,shared_source_target,0.40630887999027276,0.4353694462107368,0.039632812428318134,2.040933565030137,100
14,TLearner,shared_source_target,0.41370226717080755,0.4353694462107368,0.039632812428318134,2.07807135058968,100
15,SLearner,shared_source_target,0.4197186116762742,0.4353694462107368,0.039632812428318134,2.1082921014634626,100
0,DRLearner,htce,0.029505342207782066,0.3739917958194316,0.04329004315121529,0.14180993131206576,200
1,TARNet,htce,0.030955775131905568,0.3739917958194316,0.04329004315121529,0.1487810686706578,200
2,TLearner,htce,0.030416261768768958,0.3739917958194316,0.04329004315121529,0.14618803475735634,200
3,SLearner,htce,0.13241715942037083,0.3739917958194316,0.04329004315121529,0.6364294353782791,200
4,DRLearner,target,0.1567563242452099,0.3739917958194316,0.04329004315121529,0.7534094475976639,200
5,TARNet,target,0.1865283115108164,0.3739917958194316,0.04329004315121529,0.8965009406373822,200
6,TLearner,target,0.21078552696059297,0.3739917958194316,0.04329004315121529,1.0130870840052606,200
7,SLearner,target,0.28683539373247324,0.3739917958194316,0.04329004315121529,1.378601447718271,200
