,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Target dataset size
0,DRLearner,htce,0.23719579730282694,-0.38280037302187714,0.16825364987918043,0.5782621183149618,50
1,TARNet,htce,0.24757744516134045,-0.38280037302187714,0.16825364987918043,0.6035716463526766,50
2,TLearner,htce,0.25711947990825584,-0.38280037302187714,0.16825364987918043,0.6268342727926455,50
3,SLearner,htce,0.35714667411335055,-0.38280037302187714,0.16825364987918043,0.8706916170958144,50
4,DRLearner,target,0.3482228493550698,-0.38280037302187714,0.16825364987918043,0.8489361312614395,50
5,TARNet,target,0.33902318994223374,-0.38280037302187714,0.16825364987918043,0.8265081852340022,50
6,TLearner,target,0.29282006242161585,-0.38280037302187714,0.16825364987918043,0.7138690967819473,50
7,SLearner,target,0.49189831945470747,-0.38280037302187714,0.16825364987918043,1.1992040644813686,50
8,DRLearner,radial_gan,0.5621913527934252,-0.38280037302187714,0.16825364987918043,1.3705721866127076,50
9,TARNet,radial_gan,0.3977636232707048,-0.38280037302187714,0.16825364987918043,0.9697121028139349,50
10,TLearner,radial_gan,0.33725715738130096,-0.38280037302187714,0.16825364987918043,0.8222027559586497,50
11,SLearner,radial_gan,0.3627174597665492,-0.38280037302187714,0.16825364987918043,0.8842726937806787,50
12,DRLearner,shared_source_target,0.34176233743654033,-0.38280037302187714,0.16825364987918043,0.8331859815965263,50
13,TARNet,shared_source_target,0.3578650769389805,-0.38280037302187714,0.16825364987918043,0.8724430188680046,50
14,TLearner,shared_source_target,0.39610205043101915,-0.38280037302187714,0.16825364987918043,0.9656613369869816,50
15,SLearner,shared_source_target,0.3170092492987379,-0.38280037302187714,0.16825364987918043,0.772840168794758,50
0,DRLearner,htce,0.08452011721613056,-0.2764189406319538,0.10157171103920634,0.2652001140123589,100
1,TARNet,htce,0.226539453329004,-0.2764189406319538,0.10157171103920634,0.7108164402744515,100
2,TLearner,htce,0.17181871451359712,-0.2764189406319538,0.10157171103920634,0.5391183090996307,100
3,SLearner,htce,0.2871249205282558,-0.2764189406319538,0.10157171103920634,0.9009164228341915,100
4,DRLearner,target,0.22470200834085716,-0.2764189406319538,0.10157171103920634,0.7050510599555635,100
5,TARNet,target,0.33159511287659255,-0.2764189406319538,0.10157171103920634,1.040451251575291,100
6,TLearner,target,0.29049405889027824,-0.2764189406319538,0.10157171103920634,0.9114878217763742,100
7,SLearner,target,0.3381936096493281,-0.2764189406319538,0.10157171103920634,1.061155459686655,100
8,DRLearner,radial_gan,0.28512664639366314,-0.2764189406319538,0.10157171103920634,0.8946464063484503,100
9,TARNet,radial_gan,0.5619219749382866,-0.2764189406319538,0.10157171103920634,1.7631515043763193,100
10,TLearner,radial_gan,0.2561031665442576,-0.2764189406319538,0.10157171103920634,0.8035789727170546,100
11,SLearner,radial_gan,0.23169582962142923,-0.2764189406319538,0.10157171103920634,0.7269956840531245,100
12,DRLearner,shared_source_target,0.4081606484075258,-0.2764189406319538,0.10157171103920634,1.2806921483111227,100
13,TARNet,shared_source_target,0.41617345114856236,-0.2764189406319538,0.10157171103920634,1.3058340467191372,100
14,TLearner,shared_source_target,0.43827851502638243,-0.2764189406319538,0.10157171103920634,1.3751934566884547,100
15,SLearner,shared_source_target,0.4436601231234995,-0.2764189406319538,0.10157171103920634,1.3920794138775072,100
0,DRLearner,htce,0.08125585687381787,-0.4766082064768923,0.16361974101711335,0.20088005749749713,200
1,TARNet,htce,0.1815931800503043,-0.4766082064768923,0.16361974101711335,0.44893315821290053,200
2,TLearner,htce,0.06654794039527517,-0.4766082064768923,0.16361974101711335,0.1645192679919957,200
3,SLearner,htce,0.2973460322429692,-0.4766082064768923,0.16361974101711335,0.7350964022984375,200
4,DRLearner,target,0.3026254768128993,-0.4766082064768923,0.16361974101711335,0.7481482015110078,200
5,TARNet,target,0.41612596569805654,-0.4766082064768923,0.16361974101711335,1.0287431716514432,200
6,TLearner,target,0.3208975322164057,-0.4766082064768923,0.16361974101711335,0.7933202257966383,200
7,SLearner,target,0.5698586254369624,-0.4766082064768923,0.16361974101711335,1.408799781915869,200
8,DRLearner,radial_gan,0.36262676418788675,-0.4766082064768923,0.16361974101711335,0.896482888037402,200
9,TARNet,radial_gan,0.3494674367903257,-0.4766082064768923,0.16361974101711335,0.8639505076533583,200
10,TLearner,radial_gan,0.33936632500507025,-0.4766082064768923,0.16361974101711335,0.838978622619129,200
11,SLearner,radial_gan,0.43494374079644593,-0.4766082064768923,0.16361974101711335,1.0752643196544673,200
12,DRLearner,shared_source_target,0.36247867895389807,-0.4766082064768923,0.16361974101711335,0.8961167929463814,200
13,TARNet,shared_source_target,0.34257536542472683,-0.4766082064768923,0.16361974101711335,0.8469119858105782,200
14,TLearner,shared_source_target,0.38600802003202644,-0.4766082064768923,0.16361974101711335,0.9542858354068227,200
15,SLearner,shared_source_target,0.3653155694628362,-0.4766082064768923,0.16361974101711335,0.9031301302056827,200
0,DRLearner,htce,0.07550776761832838,-0.4281525430741974,0.12695909856235,0.21191403238312131,300
1,TARNet,htce,0.08488329838772177,-0.4281525430741974,0.12695909856235,0.238226643571906,300
2,TLearner,htce,0.06887138813823683,-0.4281525430741974,0.12695909856235,0.19328890306981034,300
3,SLearner,htce,0.16252662586947456,-0.4281525430741974,0.12695909856235,0.45613416664252004,300
4,DRLearner,target,0.25929032849732825,-0.4281525430741974,0.12695909856235,0.7277033979809431,300
5,TARNet,target,0.31431450763392677,-0.4281525430741974,0.12695909856235,0.8821298371037098,300
