,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,DRLearner,htce,0.08002154003245301,-0.39011442228536003,0.1656251048451617,0.19662730289864924
1,TARNet,htce,0.08763591877862267,-0.39011442228536003,0.1656251048451617,0.21533719970269657
2,TLearner,htce,0.0461981335132671,-0.39011442228536003,0.1656251048451617,0.11351711536645552
3,SLearner,htce,0.09793039815045941,-0.39011442228536003,0.1656251048451617,0.24063258533023044
4,DRLearner,target,0.15039188770862505,-0.39011442228536003,0.1656251048451617,0.36953989195897474
5,TARNet,target,0.18308079663713397,-0.39011442228536003,0.1656251048451617,0.44986241505345126
6,TLearner,target,0.20179078483112975,-0.39011442228536003,0.1656251048451617,0.4958362180364852
7,SLearner,target,0.2661258546568757,-0.39011442228536003,0.1656251048451617,0.6539190449416215
8,DRLearner,radial_gan,0.18456146254439584,-0.39011442228536003,0.1656251048451617,0.4535006772478656
9,TARNet,radial_gan,0.2285042877315969,-0.39011442228536003,0.1656251048451617,0.5614760948017148
10,TLearner,radial_gan,0.19086705435325552,-0.39011442228536003,0.1656251048451617,0.46899464937153457
11,SLearner,radial_gan,0.19564699240692512,-0.39011442228536003,0.1656251048451617,0.48073981607458116
12,DRLearner,shared_source_target,0.5913526607756373,-0.39011442228536003,0.1656251048451617,1.4530597474517142
13,TARNet,shared_source_target,0.6038526618642073,-0.39011442228536003,0.1656251048451617,1.4837744962465875
14,TLearner,shared_source_target,0.5823315618491015,-0.39011442228536003,0.1656251048451617,1.4308932863915138
15,SLearner,shared_source_target,0.5769160998889739,-0.39011442228536003,0.1656251048451617,1.41758652325326
