,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,DRLearner,htce,0.059753752841584316,-1.1411063224576925,0.07092010421174498,0.22437811947052866
1,TARNet,htce,0.08627582614018606,-1.1411063224576925,0.07092010421174498,0.32396973753971764
2,TLearner,htce,0.043688112409805774,-1.1411063224576925,0.07092010421174498,0.16405089286554972
3,SLearner,htce,0.08064547065299629,-1.1411063224576925,0.07092010421174498,0.30282749096793365
4,DRLearner,target,0.21293489714471509,-1.1411063224576925,0.07092010421174498,0.7995804366906911
5,TARNet,target,0.2137214540848815,-1.1411063224576925,0.07092010421174498,0.802533994562762
6,TLearner,target,0.1807982095814151,-1.1411063224576925,0.07092010421174498,0.6789056810718775
7,SLearner,target,0.3914769856123791,-1.1411063224576925,0.07092010421174498,1.4700142781085257
8,DRLearner,radial_gan,0.13937652810203685,-1.1411063224576925,0.07092010421174498,0.5233653417012251
9,TARNet,radial_gan,0.12145252751813111,-1.1411063224576925,0.07092010421174498,0.4560598863423346
10,TLearner,radial_gan,0.13410265782922426,-1.1411063224576925,0.07092010421174498,0.5035617136800291
11,SLearner,radial_gan,0.20172977707284628,-1.1411063224576925,0.07092010421174498,0.7575046899700985
12,DRLearner,shared_source_target,0.11939305125583283,-1.1411063224576925,0.07092010421174498,0.4483264572461943
13,TARNet,shared_source_target,0.1325625256554708,-1.1411063224576925,0.07092010421174498,0.497778445777191
14,TLearner,shared_source_target,0.13843445671849708,-1.1411063224576925,0.07092010421174498,0.519827819865466
15,SLearner,shared_source_target,0.11579842471362524,-1.1411063224576925,0.07092010421174498,0.43482846749017545
