,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,DRLearner,htce,0.01996709058952802,0.4713363985855559,0.017715104869717235,0.15001784567478474
1,TARNet,htce,0.023221363423848878,0.4713363985855559,0.017715104869717235,0.1744680277207776
2,TLearner,htce,0.02448994968786452,0.4713363985855559,0.017715104869717235,0.18399923996859804
3,SLearner,htce,0.053088776781058895,0.4713363985855559,0.017715104869717235,0.39886952415495835
4,DRLearner,target,0.10509899934772059,0.4713363985855559,0.017715104869717235,0.7896355953325367
5,TARNet,target,0.15866338781672668,0.4713363985855559,0.017715104869717235,1.1920785114387995
6,TLearner,target,0.21132222602699108,0.4713363985855559,0.017715104869717235,1.587717797423911
7,SLearner,target,0.2272017715645556,0.4713363985855559,0.017715104869717235,1.7070248742941612
8,DRLearner,radial_gan,0.09151850310320613,0.4713363985855559,0.017715104869717235,0.6876018623426609
9,TARNet,radial_gan,0.10515843536475526,0.4713363985855559,0.017715104869717235,0.7900821532920478
10,TLearner,radial_gan,0.13145799313627002,0.4713363985855559,0.017715104869717235,0.9876774404668052
11,SLearner,radial_gan,0.17358367404119615,0.4713363985855559,0.017715104869717235,1.3041784283600952
12,DRLearner,shared_source_target,0.20862106416641074,0.4713363985855559,0.017715104869717235,1.5674232792352831
13,TARNet,shared_source_target,0.21204190722065078,0.4713363985855559,0.017715104869717235,1.5931249458395198
14,TLearner,shared_source_target,0.23095855178379396,0.4713363985855559,0.017715104869717235,1.735250522524523
15,SLearner,shared_source_target,0.2080079469460778,0.4713363985855559,0.017715104869717235,1.5628167731382607
