,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,DRLearner,htce,0.04231544973965941,-0.19657347916209816,0.032484389144851085,0.23478027598727189
1,TARNet,htce,0.13279695675804948,-0.19657347916209816,0.032484389144851085,0.7368019564897484
2,TLearner,htce,0.05560320235725027,-0.19657347916209816,0.032484389144851085,0.30850517424552415
3,SLearner,htce,0.09512895141967705,-0.19657347916209816,0.032484389144851085,0.5278072573043938
4,DRLearner,target,0.12201386283214477,-0.19657347916209816,0.032484389144851085,0.6769737428350125
5,TARNet,target,0.14274960077757484,-0.19657347916209816,0.032484389144851085,0.7920225561544902
6,TLearner,target,0.17461758194501506,-0.19657347916209816,0.032484389144851085,0.9688367802660315
7,SLearner,target,0.18527423860610506,-0.19657347916209816,0.032484389144851085,1.0279634776634452
8,DRLearner,radial_gan,0.14792520495993244,-0.19657347916209816,0.032484389144851085,0.8207385401700386
9,TARNet,radial_gan,0.13091406854263982,-0.19657347916209816,0.032484389144851085,0.72635506256361
10,TLearner,radial_gan,0.13874453228523556,-0.19657347916209816,0.032484389144851085,0.7698010958660024
11,SLearner,radial_gan,0.14307940178280706,-0.19657347916209816,0.032484389144851085,0.793852402499163
12,DRLearner,shared_source_target,0.7377734346435184,-0.19657347916209816,0.032484389144851085,4.093413910696083
13,TARNet,shared_source_target,0.7298395311638995,-0.19657347916209816,0.032484389144851085,4.04939395911666
14,TLearner,shared_source_target,0.7444440964102383,-0.19657347916209816,0.032484389144851085,4.1304249745095065
15,SLearner,shared_source_target,0.7093179273440994,-0.19657347916209816,0.032484389144851085,3.9355332335859923
